epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5166,2.28427,2.19189,1.62309,0.34485,0.18053,0.15662,0.10332,3.10347,3.24391,1.67521,0.000399325,0.000399325,0.000399325
2,123.094,1.73349,1.31344,1.33694,0.74499,0.60885,0.69281,0.47304,1.67904,2.83572,0.84767,0.000799239,0.000799239,0.000799239
3,178.819,1.63223,1.22135,1.31106,0.74717,0.52566,0.59383,0.41073,2.65757,1.69156,1.63821,0.0011988,0.0011988,0.0011988
4,234.382,1.5344,1.09606,1.2829,0.88653,0.65841,0.8068,0.62006,1.58828,1.18479,0.87836,0.00159776,0.00159776,0.00159776
5,291.568,1.47632,1.03037,1.2673,0.84958,0.71327,0.81688,0.60786,1.66474,0.97542,0.91849,0.00199585,0.00199585,0.00199585
6,347.482,1.41705,1.03517,1.26252,0.83117,0.67611,0.78164,0.58836,1.70772,1.09482,0.94755,0.00199458,0.00199458,0.00199458
7,403.609,1.44475,1.05082,1.25426,0.83484,0.67993,0.78992,0.61052,1.74449,1.04478,0.94989,0.00199219,0.00199219,0.00199219
8,458.31,1.36202,0.97404,1.25197,0.82727,0.7115,0.83501,0.65035,1.65738,0.95224,0.94233,0.00198938,0.00198938,0.00198938
9,513.003,1.31162,0.98029,1.23455,0.86758,0.70735,0.81674,0.65416,1.61257,0.98013,0.93055,0.00198614,0.00198614,0.00198614
10,568.258,1.2824,0.97073,1.24003,0.83475,0.66018,0.7907,0.61153,1.69113,0.99506,0.92258,0.00198246,0.00198246,0.00198246
11,624.113,1.26869,0.93499,1.22843,0.82757,0.6708,0.76946,0.61065,1.69163,1.14432,0.93729,0.00197837,0.00197837,0.00197837
12,680.412,1.24854,0.92263,1.22663,0.88353,0.71681,0.85059,0.66146,1.70087,0.87327,0.93072,0.00197384,0.00197384,0.00197384
13,734.744,1.21667,0.91377,1.22545,0.88489,0.70265,0.83533,0.64187,1.67131,0.96401,0.93751,0.0019689,0.0019689,0.0019689
14,788.517,1.23297,0.88991,1.22258,0.86607,0.70796,0.85797,0.65995,1.5949,0.93869,0.9085,0.00196353,0.00196353,0.00196353
15,842.415,1.2455,0.90157,1.22762,0.87196,0.70442,0.79912,0.62034,1.67246,1.0624,0.92129,0.00195775,0.00195775,0.00195775
16,896.357,1.19225,0.88101,1.21509,0.89994,0.71632,0.86156,0.67491,1.54461,0.84782,0.90078,0.00195155,0.00195155,0.00195155
17,950.64,1.19501,0.86397,1.21375,0.85455,0.70709,0.82711,0.64613,1.56191,0.95635,0.88471,0.00194493,0.00194493,0.00194493
18,1006.74,1.18627,0.85313,1.21915,0.80705,0.69586,0.78684,0.61584,1.67714,1.07889,0.92937,0.00193791,0.00193791,0.00193791
19,1061.62,1.16634,0.8467,1.21846,0.86732,0.72893,0.85178,0.68052,1.50824,0.89562,0.87704,0.00193048,0.00193048,0.00193048
20,1115.65,1.22865,0.8722,1.22109,0.84166,0.70796,0.83125,0.65494,1.60056,0.94944,0.91394,0.00192264,0.00192264,0.00192264
21,1169.31,1.16024,0.85828,1.21611,0.90107,0.71858,0.85254,0.6704,1.50796,0.91685,0.87707,0.00191441,0.00191441,0.00191441
22,1223.35,1.16224,0.84982,1.21099,0.91664,0.7115,0.86397,0.68808,1.47106,0.86685,0.90028,0.00190578,0.00190578,0.00190578
23,1278.45,1.17348,0.81123,1.21734,0.86413,0.75418,0.87614,0.70061,1.50834,0.84309,0.87835,0.00189675,0.00189675,0.00189675
24,1333.67,1.11658,0.80946,1.20679,0.86812,0.7292,0.86312,0.68333,1.46691,0.88835,0.88602,0.00188734,0.00188734,0.00188734
25,1388.76,1.16348,0.81791,1.20821,0.87876,0.7292,0.85953,0.67485,1.50358,0.84695,0.88961,0.00187754,0.00187754,0.00187754
26,1442.88,1.15239,0.82054,1.21583,0.8463,0.7646,0.87602,0.71428,1.43874,0.89376,0.87734,0.00186737,0.00186737,0.00186737
