feature,importance
t97_f47,0.030960785
t26_f51,0.02810555
t87_f16,0.024533495
t106_f61,0.019120688
t107_f47,0.018317036
t102_f47,0.017084813
t41_f4,0.015394576
t81_f47,0.012657932
t125_f51,0.012481717
t19_f61,0.012125612
t66_f47,0.01106568
t64_f50,0.010654798
t95_f51,0.009829849
t39_f51,0.009626172
t123_f2,0.008327957
t119_f61,0.007858146
t126_f30,0.007292261
t2_f51,0.0070882817
t79_f47,0.0065437304
t56_f47,0.0058255107
t3_f61,0.0055352612
t101_f61,0.0054609394
t11_f51,0.005455589
t1_f51,0.005431178
t13_f6,0.005247162
t120_f28,0.005207152
t127_f30,0.004482454
t5_f51,0.0043709995
t6_f61,0.004229808
t11_f59,0.0039583393
t6_f51,0.0036946712
t116_f5,0.0035202308
t12_f51,0.003273973
t87_f28,0.0032334414
t36_f16,0.003176637
t13_f50,0.0031752868
t34_f51,0.0031364434
t10_f51,0.003115456
t3_f47,0.0029242919
t91_f61,0.002867532
t105_f44,0.0028437548
t122_f2,0.002840566
t119_f22,0.0026962664
t124_f16,0.0026674003
t126_f16,0.0025186958
t113_f61,0.00239576
t12_f61,0.0022840516
t11_f61,0.0022295148
t114_f50,0.00220996
t9_f61,0.0021515824
t91_f50,0.0021272695
t8_f50,0.0020759807
t96_f42,0.0020746286
t59_f59,0.002058855
t2_f61,0.002046826
t25_f61,0.0020329638
t51_f18,0.0019890047
t60_f42,0.0019825674
t127_f28,0.0019100567
t64_f57,0.0018570756
t118_f61,0.0017999582
t95_f61,0.0017961028
t97_f3,0.0017570475
t59_f50,0.0016704776
t7_f59,0.0016150917
t30_f30,0.0015920446
t61_f55,0.0015524856
t112_f44,0.0015160807
t3_f50,0.0014939475
t30_f61,0.0014770293
t123_f59,0.0014463295
t100_f51,0.0014230952
t126_f28,0.0014173919
t124_f50,0.0014152273
t73_f7,0.0014085071
t126_f50,0.0014068292
t103_f59,0.0013734238
t115_f59,0.0013673281
t125_f0,0.0013658572
t1_f61,0.0013627512
t2_f50,0.0013575368
t39_f30,0.0013166466
t7_f51,0.0012478818
t125_f50,0.0012345511
t21_f51,0.0012301606
t124_f61,0.0012172512
t37_f5,0.0012028886
t125_f16,0.0012021456
t126_f0,0.0011808999
t65_f2,0.0011699833
t13_f47,0.0011482777
t57_f61,0.001133121
t91_f28,0.0011261427
t127_f57,0.001123753
t12_f60,0.0011195218
t116_f34,0.0011162251
t14_f51,0.001105858
t36_f51,0.0010982298
t69_f51,0.0010956444
t78_f51,0.0010832271
t12_f24,0.001082868
t77_f28,0.001082533
t7_f61,0.0010682984
t58_f3,0.001062404
t121_f5,0.0010615148
t97_f5,0.0010550366
t60_f30,0.0010386443
t45_f41,0.0010288194
t120_f3,0.0010266337
t31_f30,0.0010000977
t126_f44,0.0009978465
t11_f4,0.0009880868
t0_f6,0.00094735203
t4_f61,0.00094665855
t109_f30,0.0009362582
t54_f61,0.00092369935
t7_f41,0.0009236273
t0_f61,0.0009166566
t40_f30,0.000916196
t126_f40,0.0009076682
t51_f24,0.00090211944
t50_f51,0.0008876023
t47_f42,0.00087482115
t0_f47,0.00087364955
t104_f6,0.0008673863
t97_f35,0.0008668779
t14_f50,0.0008635761
t118_f35,0.0008606211
t104_f44,0.00083805324
t35_f43,0.00082856294
t65_f50,0.00082365994
t13_f35,0.0008231931
t17_f7,0.0008191658
t88_f16,0.00081769197
t21_f45,0.00081553025
t77_f42,0.000813536
t92_f28,0.0008121426
t41_f40,0.0008096271
t16_f51,0.0008049075
t0_f28,0.0008042072
t43_f59,0.0008038373
t101_f7,0.0008019611
t121_f3,0.0008004407
t97_f59,0.0007994419
t113_f50,0.0007875824
t21_f50,0.0007852693
t85_f61,0.000777126
t2_f59,0.0007757815
t100_f0,0.0007733127
t2_f42,0.00077174505
t33_f50,0.0007675752
t41_f34,0.0007665076
t127_f50,0.00075876905
t1_f40,0.0007573549
t16_f7,0.00075725385
t117_f44,0.00075175014
t9_f56,0.00074892235
t20_f42,0.00074886193
t36_f43,0.00074279186
