epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,14365.1,0.08033,0.97437,1,0.08575,0.00694428,0.00694428,0.00694428
77,14555.2,0.08766,0.97398,1,0.08555,0.00687222,0.00687222,0.00687222
78,14743.8,0.08094,0.97418,1,0.08547,0.0067997,0.0067997,0.0067997
79,14930.9,0.08279,0.97437,1,0.08539,0.00672675,0.00672675,0.00672675
80,15118.9,0.0771,0.97418,1,0.08532,0.00665339,0.00665339,0.00665339
81,15306,0.08097,0.97418,1,0.08531,0.00657963,0.00657963,0.00657963
82,15496.3,0.08089,0.97437,1,0.08539,0.0065055,0.0065055,0.0065055
83,15684.3,0.08249,0.97418,1,0.08528,0.00643101,0.00643101,0.00643101
84,15874.2,0.08017,0.97437,1,0.08516,0.00635617,0.00635617,0.00635617
85,16061,0.07848,0.97437,1,0.08542,0.00628101,0.00628101,0.00628101
86,16250.8,0.07824,0.97477,1,0.08533,0.00620555,0.00620555,0.00620555
87,16438.7,0.0738,0.97497,1,0.08602,0.00612981,0.00612981,0.00612981
88,16627.6,0.07388,0.97497,1,0.08535,0.0060538,0.0060538,0.0060538
89,16817,0.07354,0.97517,1,0.08533,0.00597754,0.00597754,0.00597754
90,17005,0.0737,0.97537,1,0.08595,0.00590105,0.00590105,0.00590105
91,17195.6,0.07291,0.97576,1,0.08546,0.00582435,0.00582435,0.00582435
92,17383.6,0.07346,0.97557,1,0.0855,0.00574746,0.00574746,0.00574746
93,17572.2,0.07368,0.97557,1,0.08549,0.0056704,0.0056704,0.0056704
94,17759.9,0.07099,0.97616,1,0.08627,0.00559318,0.00559318,0.00559318
95,17949.8,0.071,0.97596,1,0.08558,0.00551584,0.00551584,0.00551584
96,18139.3,0.07109,0.97616,1,0.08575,0.00543837,0.00543837,0.00543837
97,18329.7,0.07001,0.97616,1,0.08582,0.00536081,0.00536081,0.00536081
98,18519.1,0.07108,0.97636,1,0.08744,0.00528318,0.00528318,0.00528318
99,18707.5,0.06653,0.97636,1,0.0866,0.00520548,0.00520548,0.00520548
100,18894.8,0.06936,0.97656,1,0.08592,0.00512775,0.00512775,0.00512775
