epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4793,2.21974,2.02383,1.5856,0.54693,0.5115,0.48737,0.32713,2.11138,4.94057,1.05413,0.000399325,0.000399325,0.000399325
2,119.893,1.75106,1.22197,1.33942,0.74262,0.6128,0.71912,0.51278,1.7422,1.7705,0.88593,0.000799239,0.000799239,0.000799239
3,177.652,1.65316,1.07593,1.30987,0.73707,0.70973,0.79327,0.61653,1.63575,1.11956,0.88714,0.0011988,0.0011988,0.0011988
4,233.119,1.64457,1.04353,1.30608,0.7822,0.75929,0.84578,0.62728,1.70876,0.98668,0.90968,0.00159776,0.00159776,0.00159776
5,288.433,1.51751,0.95282,1.27404,0.79051,0.70973,0.80772,0.62614,1.61124,1.05602,0.87497,0.00199585,0.00199585,0.00199585
6,343.391,1.45199,0.91724,1.26221,0.82642,0.65841,0.75399,0.57582,1.75862,1.31133,0.96019,0.00199458,0.00199458,0.00199458
7,398.408,1.47197,0.88018,1.25845,0.74936,0.67206,0.77862,0.60079,1.58462,1.10997,0.90135,0.00199219,0.00199219,0.00199219
8,453.6,1.4271,0.86164,1.25546,0.8272,0.67779,0.79502,0.61778,1.64253,1.04531,0.8938,0.00198938,0.00198938,0.00198938
9,510.617,1.37801,0.87705,1.24574,0.81896,0.73805,0.84252,0.64876,1.631,0.98253,0.9291,0.00198614,0.00198614,0.00198614
10,567.024,1.32887,0.83469,1.23902,0.81927,0.76219,0.85863,0.66778,1.57762,0.89913,0.88179,0.00198246,0.00198246,0.00198246
11,622.061,1.37259,0.82287,1.24119,0.83573,0.72743,0.83125,0.65601,1.54466,0.97891,0.84429,0.00197837,0.00197837,0.00197837
12,677.155,1.27627,0.79123,1.22911,0.82981,0.78584,0.87567,0.6857,1.50828,0.85494,0.87105,0.00197384,0.00197384,0.00197384
13,732.312,1.26466,0.75619,1.23082,0.83173,0.71738,0.83873,0.63736,1.5462,0.97981,0.85858,0.0019689,0.0019689,0.0019689
14,786.258,1.27985,0.76894,1.22643,0.83168,0.79823,0.88994,0.6964,1.5048,0.83168,0.86264,0.00196353,0.00196353,0.00196353
15,841.08,1.29621,0.78936,1.23307,0.84873,0.77459,0.87927,0.69085,1.45759,0.8432,0.84815,0.00195775,0.00195775,0.00195775
16,897.132,1.2335,0.7541,1.21931,0.858,0.7823,0.88829,0.6903,1.46972,0.88466,0.83085,0.00195155,0.00195155,0.00195155
17,951.627,1.22608,0.74638,1.2182,0.85237,0.67611,0.78738,0.62916,1.51634,1.0941,0.84136,0.00194493,0.00194493,0.00194493
18,1005.65,1.23994,0.75364,1.2284,0.87977,0.73822,0.8579,0.66118,1.56467,0.91126,0.88229,0.00193791,0.00193791,0.00193791
19,1059.51,1.21081,0.72875,1.227,0.86951,0.84248,0.9061,0.70067,1.47018,0.78785,0.82492,0.00193048,0.00193048,0.00193048
20,1114.52,1.17069,0.69532,1.21893,0.88151,0.77522,0.88348,0.68937,1.47005,0.84449,0.82872,0.00192264,0.00192264,0.00192264
21,1168.85,1.18491,0.70882,1.21464,0.87861,0.82124,0.91504,0.72697,1.45635,0.75727,0.84573,0.00191441,0.00191441,0.00191441
22,1224.51,1.19034,0.69168,1.21109,0.90272,0.7823,0.90366,0.71022,1.43142,0.73917,0.83605,0.00190578,0.00190578,0.00190578
23,1279.35,1.16652,0.6966,1.2182,0.88447,0.80885,0.89721,0.69422,1.45835,0.8122,0.83159,0.00189675,0.00189675,0.00189675
24,1333.83,1.19848,0.6931,1.21658,0.88511,0.81814,0.90864,0.70547,1.41583,0.72794,0.81364,0.00188734,0.00188734,0.00188734
25,1387.98,1.16913,0.67339,1.21473,0.90042,0.81416,0.90482,0.71183,1.41253,0.78551,0.82621,0.00187754,0.00187754,0.00187754
26,1442.57,1.15171,0.65467,1.21771,0.89326,0.78938,0.8983,0.69513,1.40978,0.74646,0.82254,0.00186737,0.00186737,0.00186737
27,1496.99,1.13944,0.66542,1.20946,0.89637,0.80708,0.91075,0.71578,1.40918,0.73972,0.81626,0.00185681,0.00185681,0.00185681
28,1551.71,1.14015,0.66864,1.20974,0.88203,0.82301,0.90391,0.71394,1.41283,0.74693,0.82114,0.00184588,0.00184588,0.00184588
29,1607.13,1.14522,0.66475,1.2151,0.87229,0.75044,0.85941,0.67701,1.44309,0.88227,0.81561,0.00183459,0.00183459,0.00183459
30,1661.59,1.1241,0.65501,1.21221,0.86938,0.82464,0.90204,0.74027,1.35772,0.71695,0.79653,0.00182294,0.00182294,0.00182294
31,1716.07,1.16915,0.67685,1.21092,0.88988,0.82952,0.91254,0.71988,1.37946,0.70138,0.81995,0.00181093,0.00181093,0.00181093
32,1770.49,1.14336,0.65916,1.20359,0.90157,0.82124,0.90878,0.71371,1.3911,0.72444,0.80955,0.00179856,0.00179856,0.00179856
33,1825.11,1.13949,0.63992,1.20608,0.88234,0.82294,0.90537,0.71187,1.42946,0.73956,0.83476,0.00178586,0.00178586,0.00178586
34,1879.38,1.12334,0.64341,1.20995,0.882,0.8467,0.91933,0.7327,1.40052,0.71156,0.81758,0.00177281,0.00177281,0.00177281
35,1934.37,1.13396,0.63971,1.20968,0.87399,0.82832,0.90481,0.72609,1.36934,0.72413,0.80422,0.00175943,0.00175943,0.00175943
36,1989.16,1.10892,0.63271,1.20166,0.91949,0.82881,0.90821,0.73804,1.37878,0.73652,0.8123,0.00174571,0.00174571,0.00174571
37,2043.33,1.07859,0.62263,1.19818,0.90988,0.84248,0.91057,0.72053,1.38464,0.66982,0.81059,0.00173168,0.00173168,0.00173168
38,2097.63,1.09325,0.62418,1.2058,0.8827,0.81247,0.89538,0.70962,1.41473,0.73149,0.81964,0.00171733,0.00171733,0.00171733
39,2151.9,1.09557,0.6277,1.20648,0.89098,0.85346,0.91231,0.73667,1.34429,0.68413,0.80365,0.00170267,0.00170267,0.00170267
40,2206.29,1.09326,0.63974,1.19992,0.90195,0.83186,0.91107,0.72857,1.41517,0.71304,0.82505,0.0016877,0.0016877,0.0016877
41,2260.67,1.09353,0.626,1.19901,0.90313,0.84151,0.91872,0.74209,1.35022,0.67875,0.80226,0.00167244,0.00167244,0.00167244
42,2316.3,1.09902,0.61036,1.20433,0.88378,0.80885,0.89624,0.71156,1.42307,0.72383,0.82841,0.00165689,0.00165689,0.00165689
43,2370.94,1.09204,0.6056,1.19753,0.88505,0.81762,0.90965,0.73939,1.38299,0.70252,0.81354,0.00164105,0.00164105,0.00164105
44,2425.15,1.07764,0.58894,1.2115,0.88484,0.84602,0.91664,0.73193,1.4073,0.67351,0.82246,0.00162494,0.00162494,0.00162494
45,2479.36,1.08405,0.6081,1.19406,0.90906,0.83894,0.9116,0.74592,1.38261,0.68057,0.79857,0.00160855,0.00160855,0.00160855
46,2533.87,1.1072,0.61519,1.19818,0.87491,0.8531,0.91336,0.73862,1.36467,0.69699,0.79797,0.00159191,0.00159191,0.00159191
47,2588.01,1.08197,0.59799,1.20191,0.91788,0.83717,0.91618,0.73303,1.41214,0.70055,0.82531,0.00157501,0.00157501,0.00157501
48,2642.74,1.08534,0.60103,1.20542,0.91647,0.82655,0.91984,0.73603,1.39121,0.66894,0.81981,0.00155786,0.00155786,0.00155786
49,2698.24,1.08303,0.59672,1.20256,0.87265,0.86107,0.91335,0.73763,1.36683,0.69155,0.80967,0.00154047,0.00154047,0.00154047
50,2752.64,1.08104,0.58167,1.20364,0.89685,0.82478,0.91002,0.72467,1.40827,0.69483,0.81882,0.00152285,0.00152285,0.00152285
51,2807.13,1.05954,0.58088,1.19353,0.88188,0.8531,0.91294,0.72267,1.46425,0.6477,0.8313,0.001505,0.001505,0.001505
52,2861.56,1.04969,0.56546,1.19715,0.92724,0.83458,0.91947,0.73344,1.39771,0.64607,0.83169,0.00148694,0.00148694,0.00148694
53,2915.93,1.07955,0.57507,1.19161,0.88505,0.85851,0.92227,0.73557,1.35985,0.65837,0.81456,0.00146866,0.00146866,0.00146866
54,2970.43,1.05017,0.54796,1.194,0.92411,0.82655,0.91961,0.73723,1.37662,0.63398,0.81284,0.00145019,0.00145019,0.00145019
55,3025.85,1.0496,0.56448,1.19379,0.9114,0.83363,0.91678,0.73141,1.3775,0.65117,0.81592,0.00143152,0.00143152,0.00143152
56,3080.92,1.03314,0.56403,1.19372,0.89961,0.84056,0.91524,0.73097,1.38182,0.66193,0.8145,0.00141267,0.00141267,0.00141267
57,3135.06,1.03178,0.54546,1.19927,0.92914,0.83553,0.91328,0.7443,1.32645,0.6382,0.78179,0.00139364,0.00139364,0.00139364
58,3189.16,1.03187,0.53981,1.19039,0.9022,0.83717,0.91059,0.72884,1.3604,0.65763,0.80238,0.00137444,0.00137444,0.00137444
59,3243.68,1.01948,0.54326,1.19306,0.89619,0.85568,0.91643,0.73803,1.3781,0.64998,0.7992,0.00135509,0.00135509,0.00135509
60,3298.14,1.0304,0.54364,1.19818,0.91336,0.83186,0.91617,0.74316,1.37785,0.64331,0.79895,0.00133558,0.00133558,0.00133558
61,3352.94,1.04137,0.5467,1.19449,0.94019,0.79469,0.91234,0.73907,1.38134,0.64521,0.80972,0.00131593,0.00131593,0.00131593
62,3408.46,1.01114,0.52602,1.18234,0.92141,0.87434,0.92643,0.74222,1.34591,0.61273,0.79727,0.00129614,0.00129614,0.00129614
63,3463.11,1.03437,0.53568,1.19973,0.90916,0.83256,0.91354,0.73942,1.40538,0.65777,0.81134,0.00127623,0.00127623,0.00127623
64,3517.13,1.04437,0.5379,1.19655,0.9213,0.84946,0.91751,0.73888,1.38388,0.6456,0.80077,0.0012562,0.0012562,0.0012562
65,3571.45,1.04163,0.534,1.19132,0.89527,0.85133,0.91258,0.73042,1.40848,0.63997,0.80436,0.00123607,0.00123607,0.00123607
66,3625.7,0.99301,0.52478,1.18394,0.89997,0.86195,0.91911,0.7326,1.42593,0.63584,0.81956,0.00121583,0.00121583,0.00121583
67,3679.68,1.00081,0.50857,1.1873,0.91702,0.84107,0.92412,0.73606,1.43542,0.61785,0.82206,0.00119551,0.00119551,0.00119551
68,3734.72,0.97184,0.49944,1.18365,0.90355,0.85487,0.91844,0.74233,1.42181,0.65145,0.80886,0.0011751,0.0011751,0.0011751
69,3789.59,0.98555,0.50623,1.18166,0.89025,0.83894,0.91054,0.72914,1.38227,0.64939,0.80469,0.00115462,0.00115462,0.00115462
70,3844.52,0.97171,0.48851,1.18327,0.90626,0.86549,0.92577,0.74937,1.40088,0.61421,0.81492,0.00113408,0.00113408,0.00113408
71,3899.29,0.9727,0.49273,1.17774,0.90644,0.87448,0.92929,0.73431,1.43547,0.61254,0.82079,0.00111348,0.00111348,0.00111348
72,3954.32,0.97146,0.48198,1.19105,0.90359,0.86263,0.92594,0.73501,1.40684,0.61933,0.81596,0.00109284,0.00109284,0.00109284
73,4009.29,0.95207,0.47713,1.18357,0.90999,0.84248,0.92023,0.72325,1.42002,0.63394,0.82112,0.00107216,0.00107216,0.00107216
74,4064.54,0.95035,0.48952,1.18094,0.89066,0.87943,0.92713,0.74981,1.35714,0.59143,0.79877,0.00105146,0.00105146,0.00105146
