ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F62,none,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,none,0,0.98,0.98,0.98,0.98,0.98
F63,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,1,none,0,3.3,3.3,3.3,3.3,3.3
F64,none,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,1.04,1.04,1.04,1.04,1.04
F65,none,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.05,1.01,1.01,1.01,1.01,1.01
F66,none,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,1.11,1.11,1.11,1.11,1.11
F67,none,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.05,1.04,1.04,1.04,1.04,1.04
F68,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.1,1.24,1.24,1.24,1.24,1.24
F69,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.1,1.33,1.33,1.33,1.33,1.33
F70,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.1,1.6,1.6,1.6,1.6,1.6
F71,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.1,2.35,2.35,2.35,2.35,2.35
F72,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.05,1.21,1.21,1.21,1.21,1.21
F73,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.05,1.31,1.31,1.31,1.31,1.31
F74,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.05,1.56,1.56,1.56,1.56,1.56
F75,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.05,2.33,2.33,2.33,2.33,2.33
F76,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,1.42,1.42,1.42,1.42,1.42
F77,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,3.1,3.1,3.1,3.1,3.1
F78,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,1.42,1.42,1.42,1.42,1.42
F79,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,3.1,3.1,3.1,3.1,3.1
F80,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-20,0.1,1.47,1.47,1.47,1.47,1.47
F81,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-20,0.1,3.15,3.15,3.15,3.15,3.15
F82,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-80,0.1,1.54,1.54,1.54,1.54,1.54
F83,none,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-80,0.1,3.22,3.22,3.22,3.22,3.22
F84,BSA,66,4.7,0.3,145,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,9,9,9,9,9
F85,BGG,150,6.6,1,163,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,15.7,15.7,13,11.3,9.5
F86,poly-hIgG,150,7.6,1,166,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,16.6,16.6,16.6,15.2,9.3
F87,BSA,66,4.7,0.3,65,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,4.3,4.3,4.3,4.3,4.3
F88,BGG,150,6.6,1,77,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,5,5,5,5,5
F89,poly-hIgG,150,7.6,1,72,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,5.1,4.4,4.4,4.4,4.4
F90,BGG,150,6.6,1,66,25,PBS,7.4,10,NaCl,140,Trehalose,0.47,none,0,2.1,2.1,2.1,2.1,2.1
F91,BSA,66,4.7,0.3,67,25,PBS,7.4,10,NaCl,140,Trehalose,0.466,none,0,2.4,2.3,2.1,2.1,2
F92,poly-hIgG,150,7.6,1,68,25,PBS,7.4,10,NaCl,140,Trehalose,0.447,none,0,3,2.5,2.36,2.36,2.3
F93,BGG,150,6.6,1,152,25,Histidine,6,100,NaCl,140,none,0,none,0,4.1,4.1,4.1,3.82,2.7
