ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F195,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,3.82,3.82,3.82,3.82,3.82
F196,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,4.43,4.43,4.43,4.43,4.43
F197,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,2.85,2.85,2.85,2.85,2.85
F198,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,2.46,2.46,2.46,2.46,2.46
F199,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,3.08,3.08,3.08,3.08,3.08
F200,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,2.65,2.65,2.65,2.65,2.65
F201,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,1.98,1.98,1.98,1.98,1.98
F202,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,2.65,2.65,2.65,2.65,2.65
F203,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,2.27,2.27,2.27,2.27,2.27
F204,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,1.97,1.97,1.97,1.97,1.97
F205,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,1.47,1.47,1.47,1.47,1.47
F206,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-20,0.1,1.27,1.27,1.27,1.27,1.27
F207,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,3.87,3.87,3.87,3.87,3.87
F208,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,4.48,4.48,4.48,4.48,4.48
F209,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,2.9,2.9,2.9,2.9,2.9
F210,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,tween-80,0.1,2.51,2.51,2.51,2.51,2.51
F211,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,3.13,3.13,3.13,3.13,3.13
F212,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,2.7,2.7,2.7,2.7,2.7
F213,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,2.03,2.03,2.03,2.03,2.03
F214,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,2.7,2.7,2.7,2.7,2.7
F215,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,2.32,2.32,2.32,2.32,2.32
F216,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,2.02,2.02,2.02,2.02,2.02
F217,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,1.52,1.52,1.52,1.52,1.52
F218,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.1,1.32,1.32,1.32,1.32,1.32
F219,Pembrolizumab,149,7.57,0.3,193,25,Acetate,5,20,none,0,none,0,none,0,16.6,12.1,11.3,8.22,4
F220,Bevacizumab,149,8.3,0.3,250,25,PBS,7.4,10,NaCl,140,none,0,none,0,17.4,17.4,15.8,9.5,3.82
F221,Bevacizumab,149,8.3,0.3,60,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,none,0,3,3,3,3,1.2
F222,Bevacizumab,149,8.3,0.3,100,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,2.4,2.4,2.4,2,1.9
F223,Bevacizumab,149,8.3,0.3,100,25,PBS,7.4,10,NaCl,140,none,0,none,0,3.35,3.05,2.9,2.3,1.4
F224,Bevacizumab,149,8.3,0.3,80,25,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.05,5.8,2.2,2.7,2.27,2.08
F225,Bevacizumab,149,8.3,0.3,75,25,PBS,7.4,10,NaCl,140,Sucrose,0.25,tween-80,0.05,2.5,2.5,2.1,2,1.8
F226,Pembrolizumab,149,7.57,0.3,50,25,Acetate,5,20,none,0,Sucrose,0.1,tween-80,0.1,2.17,2.17,2.17,2,1.2
F227,Pembrolizumab,149,7.57,0.3,100,25,Acetate,5,20,none,0,none,0,none,0,2.9,2.8,2.5,2.2,1.43
F228,Pembrolizumab,149,7.57,0.3,80,25,Acetate,5,20,none,0,Sucrose,0.5,tween-80,0.1,3.5,3.5,3.5,3.2,2
F229,Pembrolizumab,149,7.57,0.3,100,25,Acetate,5,20,NaCl,140,none,0,none,0,6.8,3.6,3.05,2.25,1.1
F230,Pembrolizumab,149,7.57,0.3,60,25,Acetate,5,20,none,0,Sucrose,0.25,tween-80,0.05,2.45,2.35,2,1.9,1.4
F231,Adalimumab,148,8.7,0.3,267,25,PBS,7.4,10,NaCl,140,none,0,none,0,53,42,29,16.6,5.75
F232,Adalimumab,148,8.7,0.3,62,25,PBS,7.4,10,NaCl,140,Sucrose,0.25,none,0,1.5,1.5,1.5,1.4,1.14
F233,Adalimumab,148,8.7,0.3,100,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,7.2,4.3,4.05,3.9,2.14
F234,Adalimumab,148,8.7,0.3,80,25,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.05,6.1,5.3,5,4.4,1.6
F235,Adalimumab,148,8.7,0.3,75,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,4.4,2.3,1.6,1.3,1.3
F236,Pembrolizumab,149,7.57,0.3,80,25,PBS,7.4,10,NaCl,140,none,0,none,0,6,3.2,3,2.8,1.4
F237,Pembrolizumab,149,7.57,0.3,50,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,1.4,1.4,1.4,1.4,0.96
F238,Pembrolizumab,149,7.57,0.3,75,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,5.5,2.8,2.2,1.8,1.6
F239,Pembrolizumab,149,7.57,0.3,60,25,PBS,7.4,10,NaCl,140,Sucrose,0.5,tween-80,0.05,6,4.1,3.6,3.3,2
F240,Pembrolizumab,149,7.57,0.3,75,25,Histidine,6,15,none,0,none,0,none,0,6.3,2.7,2.4,2.4,1.3
F241,Pembrolizumab,149,7.57,0.3,75,25,Histidine,6,30,none,0,none,0,none,0,2.1,2.1,2.1,2.1,1.2
F242,Pembrolizumab,149,7.57,0.3,75,25,Histidine,6,15,NaCl,140,none,0,none,0,5,3.1,2.43,2.4,1.65
F243,Pembrolizumab,149,7.57,0.3,150,25,Histidine,6,15,none,0,none,0,none,0,7.2,7.2,7.2,5.5,2.4
F244,Pembrolizumab,149,7.57,0.3,100,25,Histidine,6,15,none,0,none,0,tween-80,0.05,6.8,3.2,2.8,2.5,1.7
F245,Pembrolizumab,149,7.57,0.3,50,25,Histidine,6,15,none,0,Sucrose,0.5,tween-80,0.05,2.5,2.4,2.1,1.7,1.2
F246,BSA,66,4.7,0.3,392,25,Histidine,6,15,none,0,none,0,none,0,67,60,49,35,30
F247,BSA,66,4.7,0.3,414,25,Acetate,5,20,none,0,none,0,none,0,141,81,63,48,33
F248,BSA,66,4.7,0.3,431,25,PBS,7.4,10,NaCl,140,none,0,none,0,160,120,78,64,44
F249,BSA,66,4.7,0.3,160,25,Histidine,6,15,none,0,none,0,none,0,4.2,3.9,3.55,3.4,2.38
F250,BSA,66,4.7,0.3,174,25,PBS,7.4,10,NaCl,140,none,0,none,0,4.8,4.8,4,4.2,2.41
F251,BSA,66,4.7,0.3,162,25,Acetate,5,20,none,0,none,0,none,0,5,5,4.7,4.5,2.5
F252,BSA,66,4.7,0.3,182,25,Histidine,6,15,NaCl,140,none,0,none,0,4.7,4.7,4.7,4.5,2.8
F253,BSA,66,4.7,0.3,172,25,Histidine,6,30,none,0,none,0,none,0,4.8,4.55,4.35,4,2.48
F254,BSA,66,4.7,0.3,169,25,Acetate,5,20,NaCl,140,none,0,none,0,5.1,4.5,3.55,2.5,2.2
