epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,167.461,2.65582,5.27228,0.00922,0.08807,0.4246,0.07073,0.04622,2.16808,1.52411,0.00813,0.00598225,0.00199408,0.00598225,0.00199408,0.0860414,0.0820533,0.00598225,0.00199408
2,316.233,1.48708,0.43539,0.00273,0.65356,0.62225,0.65262,0.47344,1.56354,0.57489,0.00444,0.0119815,0.00399384,0.0119815,0.00399384,0.0720407,0.064053,0.0119815,0.00399384
3,458.631,1.4618,0.38067,0.00266,0.79024,0.74378,0.80092,0.52355,1.70735,0.48111,0.00527,0.0179779,0.00599262,0.0179779,0.00599262,0.058037,0.0460518,0.0179779,0.00599262
4,598.546,1.66347,0.34958,0.00247,0.78779,0.70425,0.78316,0.52784,1.83401,0.55634,0.00674,0.0239691,0.00798969,0.0239691,0.00798969,0.0440282,0.0280489,0.0239691,0.00798969
5,736.095,1.68106,0.35884,0.00247,0.60152,0.653,0.64965,0.40023,1.96081,0.54154,0.00685,0.029953,0.00998432,0.029953,0.00998432,0.0300121,0.0100435,0.029953,0.00998432
6,872.846,1.67192,0.3509,0.00246,0.88469,0.74139,0.83889,0.51914,2.01935,0.38947,0.00797,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1009.26,1.54579,0.32918,0.00193,0.60073,0.75988,0.70582,0.48264,1.74774,0.48363,0.00637,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1146.02,1.49771,0.31963,0.00175,0.53722,0.67985,0.59522,0.3997,1.83121,0.55312,0.00728,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1282.09,1.38436,0.29909,0.00161,0.57437,0.73893,0.68209,0.44626,1.74952,0.49587,0.00641,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1419.39,1.40237,0.28612,0.00151,0.91522,0.80613,0.86589,0.56204,1.91829,0.34438,0.00815,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
