epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,117.801,1.73837,0.69413,0.00774,0.45061,0.58,0.54305,0.25674,2.58579,0.90956,0.01523,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,127.944,1.96954,0.63127,0.00645,0.56142,0.56329,0.55522,0.36089,1.57408,0.82052,0.00564,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,137.651,1.99024,0.61414,0.00553,0.61778,0.67888,0.6364,0.36924,2.34476,0.80365,0.00749,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,147.369,2.08875,0.56591,0.00687,0.78642,0.76,0.81716,0.56861,1.54471,0.52282,0.00412,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,157.186,2.04001,0.53298,0.00442,0.6953,0.77593,0.76104,0.4782,2.05139,0.54303,0.00689,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,167.122,1.9211,0.49329,0.00545,0.58158,0.84,0.71447,0.49186,1.75769,0.54556,0.00392,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,177.015,1.77377,0.42326,0.00363,0.69939,0.8,0.78684,0.53582,1.78546,0.53612,0.00503,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,186.903,1.77115,0.43654,0.00433,0.60073,0.8,0.7571,0.45291,1.94758,0.61551,0.00642,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,196.744,1.546,0.42631,0.0042,0.81832,0.78,0.83744,0.58105,1.61933,0.56422,0.00521,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,206.602,1.6844,0.4129,0.00274,0.77746,0.68,0.82272,0.58272,1.63934,0.53884,0.0034,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,216.393,1.48885,0.38097,0.00332,0.79658,0.78322,0.86114,0.56208,1.90767,0.54071,0.00487,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,226.038,1.70343,0.33349,0.00212,0.80217,0.8,0.83487,0.53096,2.0796,0.54638,0.00327,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,236.035,1.75265,0.33397,0.00299,0.79369,0.78,0.78671,0.52194,1.95115,0.60126,0.0032,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,245.603,1.7701,0.28519,0.00192,0.57621,0.70709,0.57484,0.36444,2.08522,0.68131,0.00316,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,255.375,1.71136,0.25998,0.00328,0.66889,0.60612,0.68031,0.48041,1.30455,0.68954,0.003,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,265.163,1.70683,0.26317,0.00257,0.97421,0.75544,0.85363,0.59028,1.48776,0.53965,0.00462,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,274.929,1.48233,0.24427,0.00243,0.83403,0.70359,0.78663,0.52737,1.92901,0.5547,0.00425,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,284.884,1.58343,0.21291,0.00257,0.84927,0.78,0.86128,0.52879,1.9066,0.54977,0.00431,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,294.736,1.52498,0.18037,0.00234,0.90803,0.68,0.85245,0.55711,1.72381,0.59338,0.00454,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,304.42,1.36304,0.16266,0.00249,0.81543,0.78,0.86078,0.6015,1.7246,0.59412,0.00365,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,314.67,1.38828,0.13962,0.00236,0.85907,0.8,0.89012,0.61583,1.80548,0.56082,0.00405,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,325.012,1.4132,0.13825,0.00257,0.88254,0.72,0.8827,0.60024,2.11789,0.46946,0.00385,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,334.648,1.35754,0.13584,0.00255,0.81395,0.68,0.80195,0.55935,1.86223,0.59202,0.00396,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,344.522,1.40051,0.14808,0.00214,0.79098,0.6812,0.8477,0.57325,1.93745,0.57454,0.00395,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,354.399,1.47006,0.13734,0.00203,0.80179,0.72821,0.82451,0.56868,2.09645,0.52538,0.0052,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,364.45,1.57126,0.14415,0.0024,0.85894,0.73081,0.83919,0.59154,1.9701,0.56297,0.00558,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,374.097,1.39427,0.14819,0.00192,0.83211,0.78,0.889,0.6234,1.93553,0.49296,0.00404,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,383.941,1.47275,0.147,0.00244,0.90391,0.75267,0.89019,0.61157,1.83096,0.58335,0.00417,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,393.88,1.35367,0.13556,0.00207,0.92672,0.75885,0.89645,0.62647,1.92704,0.47666,0.00549,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,403.51,1.28232,0.12556,0.00133,0.84278,0.7,0.84333,0.54546,2.07495,0.7187,0.00425,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,413.786,1.25673,0.11653,0.00227,0.84516,0.74,0.87217,0.58424,1.93865,0.64289,0.00495,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,423.855,1.33643,0.10375,0.00163,0.83929,0.73122,0.87113,0.63589,1.69045,0.54178,0.00415,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,433.561,1.11078,0.10463,0.00135,0.69299,0.82,0.83855,0.58792,1.63779,0.53191,0.00403,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,443.382,1.17594,0.09844,0.00234,0.77681,0.76577,0.84287,0.56482,1.72553,0.56881,0.00437,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,453.262,1.20794,0.09404,0.00139,0.78277,0.8,0.83832,0.56584,1.7768,0.60592,0.00424,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
