epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5752,1.18597,1.88414,1.2013,0.84629,0.74773,0.81364,0.48643,0.94863,2.41157,0.68771,0.0802685,0.000199308,0.000199308
2,142.785,0.92165,1.26794,1.00833,0.88825,0.7677,0.81696,0.50347,0.92422,1.332,0.64365,0.0604685,0.000399284,0.000399284
3,209.815,0.89663,1.21693,0.9882,0.8908,0.7677,0.8296,0.51988,0.98787,1.37905,0.71727,0.0406684,0.000599162,0.000599162
4,276.222,0.85252,1.18991,0.9722,0.83301,0.73334,0.78322,0.53994,0.8747,1.2465,0.6415,0.0208681,0.000798869,0.000798869
5,342,0.83386,1.15494,0.96636,0.89756,0.78766,0.83556,0.55998,0.93342,1.0963,0.70656,0.00106754,0.000998332,0.000998332
6,407.875,0.81535,1.12354,0.96574,0.89782,0.80581,0.8467,0.5749,0.94632,1.06314,0.68781,0.000998474,0.000998474,0.000998474
7,473.816,0.78679,1.09884,0.94819,0.87741,0.80538,0.84711,0.58432,0.89635,1.1032,0.64833,0.000997803,0.000997803,0.000997803
8,540.254,0.79573,1.08071,0.95686,0.88097,0.78584,0.84502,0.60802,0.87716,1.06522,0.65237,0.000997011,0.000997011,0.000997011
9,599.741,0.78469,1.03764,0.95039,0.92593,0.79407,0.84747,0.6077,0.86348,1.04693,0.66082,0.000996097,0.000996097,0.000996097
10,658.79,0.7897,1.02401,0.9516,0.90193,0.81307,0.85771,0.60193,0.91517,0.99723,0.66871,0.000995062,0.000995062,0.000995062
11,718.014,0.7635,1.02596,0.94036,0.90009,0.80113,0.85701,0.61004,0.84246,1.07667,0.62167,0.000993906,0.000993906,0.000993906
12,777.217,0.76516,1.02537,0.945,0.91153,0.8041,0.85709,0.6108,0.85714,1.00755,0.63714,0.000992629,0.000992629,0.000992629
13,836.491,0.75832,1.01359,0.94371,0.91629,0.81448,0.86929,0.62876,0.842,1.05538,0.63329,0.000991232,0.000991232,0.000991232
14,895.947,0.74116,0.99055,0.93871,0.91716,0.80378,0.87794,0.63453,0.85567,0.99242,0.62757,0.000989715,0.000989715,0.000989715
15,954.19,0.73277,0.97232,0.94027,0.90579,0.80268,0.85558,0.62465,0.84867,1.01843,0.61591,0.000988079,0.000988079,0.000988079
16,1011.96,0.73457,0.98742,0.93918,0.92552,0.81188,0.87011,0.62028,0.84539,0.99192,0.62196,0.000986323,0.000986323,0.000986323
17,1069.75,0.74659,0.96316,0.93906,0.90978,0.79673,0.85846,0.60763,0.86407,1.01886,0.63001,0.000984449,0.000984449,0.000984449
18,1127.51,0.74543,0.95765,0.93799,0.87884,0.80581,0.86206,0.61317,0.87266,1.02472,0.62177,0.000982456,0.000982456,0.000982456
19,1185.33,0.73981,0.94639,0.93767,0.92167,0.80218,0.86761,0.63343,0.84787,1.00082,0.62305,0.000980345,0.000980345,0.000980345
20,1244.16,0.72284,0.93945,0.9362,0.88896,0.82759,0.88668,0.64051,0.88336,0.94596,0.63721,0.000978118,0.000978118,0.000978118
21,1302.49,0.74299,0.95114,0.93755,0.8793,0.79332,0.85036,0.61306,0.85727,1.04634,0.62544,0.000975773,0.000975773,0.000975773
22,1360.5,0.74199,0.94228,0.93574,0.89929,0.82648,0.87324,0.62661,0.88637,1.00438,0.654,0.000973312,0.000973312,0.000973312
23,1418.28,0.73123,0.92498,0.93975,0.91411,0.82577,0.8826,0.6413,0.83237,0.93878,0.60789,0.000970736,0.000970736,0.000970736
24,1476.15,0.72854,0.90287,0.93311,0.89931,0.78584,0.83472,0.59961,0.81491,1.07352,0.61658,0.000968045,0.000968045,0.000968045
25,1533.84,0.72637,0.90202,0.93106,0.91368,0.82607,0.87308,0.6442,0.80845,0.97992,0.60949,0.000965239,0.000965239,0.000965239
26,1592.97,0.71867,0.89565,0.93001,0.8918,0.7677,0.83954,0.60252,0.81936,1.05577,0.62251,0.00096232,0.00096232,0.00096232
27,1651.5,0.70823,0.90355,0.93473,0.9034,0.81465,0.85314,0.61752,0.84248,0.98976,0.63062,0.000959289,0.000959289,0.000959289
28,1709.6,0.70967,0.89695,0.93471,0.89686,0.80484,0.8651,0.61984,0.80522,0.96538,0.60244,0.000956145,0.000956145,0.000956145
29,1767.43,0.68622,0.87098,0.92957,0.91222,0.81099,0.86106,0.63558,0.79665,0.97299,0.61077,0.000952889,0.000952889,0.000952889
30,1825.34,0.7088,0.87866,0.93391,0.92014,0.82396,0.87608,0.62345,0.87356,0.93986,0.63477,0.000949524,0.000949524,0.000949524
31,1883.09,0.70946,0.87728,0.93311,0.90336,0.81432,0.87097,0.62512,0.81742,0.94988,0.61351,0.000946048,0.000946048,0.000946048
32,1941.86,0.70797,0.86705,0.92838,0.90696,0.80218,0.86863,0.63081,0.7834,0.96165,0.60508,0.000942464,0.000942464,0.000942464
33,2000.5,0.71501,0.86554,0.93453,0.91395,0.79031,0.8684,0.62043,0.83506,0.98537,0.60335,0.000938772,0.000938772,0.000938772
34,2058.54,0.69216,0.8659,0.92741,0.93035,0.79994,0.87891,0.62241,0.89509,0.94603,0.63429,0.000934973,0.000934973,0.000934973
35,2116.27,0.69581,0.86363,0.92809,0.91926,0.81488,0.87967,0.6379,0.83679,0.95165,0.61783,0.000931067,0.000931067,0.000931067
36,2174.21,0.69231,0.84336,0.92825,0.91725,0.81488,0.88394,0.63492,0.81828,0.93335,0.58958,0.000927057,0.000927057,0.000927057
37,2231.97,0.67758,0.81045,0.91931,0.91522,0.83848,0.88396,0.62686,0.86935,0.9272,0.63528,0.000922942,0.000922942,0.000922942
38,2290.29,0.67961,0.81437,0.92513,0.92196,0.81307,0.88143,0.63121,0.84947,0.91199,0.63284,0.000918725,0.000918725,0.000918725
39,2349,0.6847,0.82247,0.92578,0.90209,0.80944,0.87489,0.63852,0.84206,0.93142,0.62066,0.000914405,0.000914405,0.000914405
40,2407.16,0.68337,0.78708,0.92685,0.91653,0.81703,0.87313,0.64097,0.84748,0.92832,0.62559,0.000909984,0.000909984,0.000909984
41,2465.04,0.66057,0.79252,0.91824,0.91014,0.83303,0.88743,0.64393,0.82853,0.93536,0.61952,0.000905463,0.000905463,0.000905463
42,2523.27,0.67645,0.79275,0.92222,0.90311,0.81307,0.88005,0.63904,0.84818,0.97385,0.62147,0.000900844,0.000900844,0.000900844
43,2581.19,0.6729,0.80635,0.92093,0.91029,0.83122,0.87505,0.63634,0.82555,0.93102,0.61004,0.000896127,0.000896127,0.000896127
44,2639.28,0.66597,0.76256,0.92302,0.92615,0.82759,0.88814,0.64024,0.86145,0.90677,0.63177,0.000891313,0.000891313,0.000891313
45,2697.88,0.65992,0.75453,0.92461,0.88673,0.79562,0.8609,0.60753,0.87383,0.96558,0.65599,0.000886404,0.000886404,0.000886404
46,2755.9,0.6698,0.75535,0.91961,0.89991,0.83217,0.8803,0.63641,0.82429,0.90619,0.60874,0.000881401,0.000881401,0.000881401
47,2813.67,0.65583,0.75129,0.91341,0.90733,0.81851,0.88062,0.64439,0.86133,0.88271,0.63729,0.000876305,0.000876305,0.000876305
48,2871.36,0.65684,0.72368,0.92621,0.89497,0.81967,0.87598,0.62634,0.85566,0.95526,0.62743,0.000871117,0.000871117,0.000871117
49,2929.33,0.67989,0.73018,0.91904,0.89398,0.82638,0.87084,0.60916,0.92696,0.8964,0.64979,0.000865839,0.000865839,0.000865839
50,2986.88,0.66236,0.72921,0.91716,0.84781,0.84392,0.86672,0.60636,0.88015,0.9626,0.62519,0.000860473,0.000860473,0.000860473
51,3045.86,0.65651,0.70498,0.92087,0.90384,0.82759,0.87617,0.61981,0.9036,0.90427,0.62949,0.000855018,0.000855018,0.000855018
52,3103.91,0.64934,0.70383,0.91795,0.92266,0.82033,0.87794,0.63575,0.85367,0.9067,0.63665,0.000849477,0.000849477,0.000849477
53,3161.8,0.66465,0.70689,0.91736,0.91792,0.81189,0.87197,0.62453,0.85944,0.89302,0.62724,0.000843851,0.000843851,0.000843851
54,3219.3,0.65082,0.71525,0.91838,0.88051,0.82916,0.87002,0.62167,0.87227,0.92104,0.63716,0.000838141,0.000838141,0.000838141
55,3277.34,0.65372,0.70463,0.91881,0.89306,0.80329,0.86577,0.61943,0.88705,0.9196,0.63774,0.000832349,0.000832349,0.000832349
56,3334.85,0.62531,0.6921,0.91129,0.90536,0.82033,0.87135,0.63805,0.8653,0.87036,0.62991,0.000826477,0.000826477,0.000826477
57,3393.58,0.62361,0.6538,0.91547,0.88818,0.82166,0.87825,0.63412,0.87889,0.87557,0.62805,0.000820525,0.000820525,0.000820525
