feature,importance
t0_f28,0.049017854
t127_f35,0.037921455
t11_f51,0.027579956
t0_f16,0.02471532
t0_f2,0.022160605
t0_f6,0.02050705
t0_f59,0.018279973
t125_f35,0.018046614
t126_f35,0.0071716397
t102_f51,0.007168002
t12_f51,0.0051286453
t101_f51,0.0048774285
t55_f51,0.0046671885
t0_f34,0.0044093463
t68_f61,0.0040954943
t19_f51,0.0039515104
t66_f61,0.0038758283
t10_f52,0.0036505237
t87_f61,0.0035695545
t116_f35,0.0033405991
t0_f7,0.003325526
t4_f35,0.0032773258
t70_f28,0.0030681656
t110_f50,0.0029347953
t64_f61,0.0029078866
t22_f35,0.0028598234
t100_f61,0.0028416587
t3_f51,0.0028232185
t49_f34,0.0026856526
t2_f61,0.0026842903
t57_f61,0.0025967816
t52_f7,0.0025788003
t35_f61,0.002569671
t78_f61,0.0025288984
t12_f35,0.002511563
t0_f35,0.0024820548
t109_f41,0.002444162
t61_f3,0.0024383527
t125_f61,0.002393944
t3_f28,0.0023749503
t0_f4,0.0023269784
t38_f16,0.0023068914
t47_f60,0.0022995174
t95_f61,0.002205078
t104_f5,0.0021955345
t96_f61,0.0021941164
t74_f41,0.0021710584
t55_f50,0.0021630803
t33_f61,0.0021594414
t7_f6,0.0021014274
t6_f35,0.0020097706
t113_f50,0.00199426
t67_f16,0.0019864226
t81_f41,0.0019779012
t1_f40,0.0019769908
t30_f52,0.0019610494
t119_f50,0.0019374932
t10_f40,0.0019361578
t6_f40,0.0019219982
t124_f47,0.0019092198
t97_f50,0.0018993211
t11_f16,0.0018938566
t2_f28,0.0018823758
t116_f50,0.001871569
t58_f29,0.0018323443
t13_f40,0.0018281064
t2_f50,0.0018225891
t36_f59,0.0017130058
t87_f43,0.0017110385
t2_f51,0.0017088638
t26_f52,0.0016397957
t90_f43,0.0016343134
t14_f34,0.0016275134
t30_f35,0.0016269779
t62_f51,0.0016233731
t121_f50,0.0016176724
t59_f51,0.0016117808
t115_f51,0.0016056997
t97_f51,0.0016030158
t16_f0,0.0015981715
t67_f59,0.0015881839
t3_f35,0.0015858007
t126_f50,0.0015666508
t8_f34,0.001561228
t110_f61,0.0015254263
t7_f35,0.0015244108
t114_f50,0.0015184071
t121_f47,0.0015043559
t29_f51,0.0015034284
t61_f55,0.00149986
t35_f28,0.0014921629
t40_f52,0.0014896411
t123_f50,0.001481039
t2_f63,0.0014748751
t125_f50,0.0014262719
t11_f40,0.0014254233
t106_f50,0.0014155268
t105_f52,0.0014111205
t126_f30,0.0014007273
t28_f52,0.0013850861
t126_f55,0.0013846888
t82_f51,0.0013666997
t0_f61,0.0013629289
t111_f43,0.0013531947
t31_f34,0.0013364055
t5_f51,0.0013133414
t32_f4,0.0013024216
t2_f7,0.0012831698
t19_f34,0.0012745387
t67_f4,0.0012439277
t110_f47,0.0012431596
t85_f61,0.0012395837
t53_f44,0.0012369528
t7_f34,0.0012278229
t59_f50,0.001226845
t86_f29,0.0012138176
t23_f59,0.0012029026
t22_f34,0.001201043
t123_f59,0.0011941278
t31_f35,0.0011847279
t3_f50,0.0011800613
