epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.525,1.83555,2.42202,0.03335,0.62898,0.63439,0.6308,0.23253,2.13043,1.53746,0.03249,0.000663522,0.000663522,0.000663522
2,62.1136,1.23411,1.54366,0.0162,0.63277,0.58739,0.57853,0.19986,2.29808,1.70567,0.04018,0.00133004,0.00133004,0.00133004
3,90.7083,1.09548,1.6247,0.01416,0.65,0.60867,0.59295,0.24693,1.57155,2.02434,0.02072,0.00199599,0.00199599,0.00199599
4,118.277,0.94773,1.77812,0.01436,0.5544,0.51841,0.51697,0.21865,1.79285,3.06406,0.02886,0.00199805,0.00199805,0.00199805
5,146.161,0.9478,1.64123,0.0123,0.54758,0.57287,0.53835,0.21119,2.05974,1.71986,0.04004,0.00199653,0.00199653,0.00199653
6,174.935,0.87334,1.5992,0.01004,0.60039,0.61271,0.58282,0.25713,1.77683,1.87405,0.03016,0.00199458,0.00199458,0.00199458
7,203.197,0.93049,1.572,0.01166,0.57197,0.56732,0.56505,0.29417,1.33832,1.84694,0.02314,0.00199219,0.00199219,0.00199219
8,230.16,0.84816,1.57876,0.00836,0.50828,0.61523,0.54208,0.26162,1.77062,1.57779,0.03208,0.00198938,0.00198938,0.00198938
9,258.506,0.85307,1.55507,0.00993,0.47949,0.5411,0.50587,0.23413,1.77673,1.84037,0.03448,0.00198614,0.00198614,0.00198614
10,285.434,0.81854,1.5268,0.00817,0.54953,0.58873,0.56132,0.25079,1.77457,1.69335,0.03569,0.00198246,0.00198246,0.00198246
11,312.697,0.83245,1.53826,0.00841,0.53917,0.59607,0.55868,0.25304,1.82507,1.72646,0.03079,0.00197837,0.00197837,0.00197837
12,341.022,0.79172,1.53691,0.00717,0.48173,0.58405,0.5145,0.22593,1.72688,1.81839,0.03176,0.00197384,0.00197384,0.00197384
13,369.123,0.78428,1.50938,0.00655,0.53362,0.577,0.54243,0.23699,1.83995,1.62869,0.03285,0.0019689,0.0019689,0.0019689
14,397.971,0.83796,1.49654,0.00717,0.65293,0.60968,0.64681,0.30072,1.69096,1.62007,0.03156,0.00196353,0.00196353,0.00196353
15,425.715,0.75971,1.49784,0.00635,0.57744,0.57943,0.56682,0.24902,1.71599,1.81231,0.0349,0.00195775,0.00195775,0.00195775
16,452.388,0.76222,1.4844,0.00595,0.56465,0.63086,0.57507,0.27154,1.62808,1.70318,0.03014,0.00195155,0.00195155,0.00195155
17,479.107,0.75227,1.49691,0.00608,0.55755,0.6001,0.58368,0.26607,1.87163,1.62717,0.03448,0.00194493,0.00194493,0.00194493
18,505.923,0.73785,1.48204,0.00599,0.53157,0.62078,0.57277,0.2869,1.61873,1.57316,0.02921,0.00193791,0.00193791,0.00193791
19,532.467,0.73554,1.48646,0.00568,0.5325,0.58497,0.56153,0.28158,1.53141,1.86212,0.02867,0.00193048,0.00193048,0.00193048
20,559.078,0.75523,1.50228,0.00617,0.54186,0.6117,0.58154,0.27686,1.68968,1.68296,0.03155,0.00192264,0.00192264,0.00192264
21,586.119,0.72403,1.49006,0.00517,0.594,0.59607,0.60848,0.27529,1.59901,1.71005,0.02976,0.00191441,0.00191441,0.00191441
22,612.683,0.74144,1.47326,0.00582,0.55426,0.60385,0.5614,0.25804,1.83024,1.79813,0.0339,0.00190578,0.00190578,0.00190578
23,639.27,0.73647,1.46063,0.00516,0.64833,0.63338,0.63642,0.28509,1.80115,1.7427,0.03419,0.00189675,0.00189675,0.00189675
24,665.902,0.74721,1.45353,0.00563,0.59183,0.58346,0.56796,0.2535,1.63717,1.72724,0.0306,0.00188734,0.00188734,0.00188734
25,692.488,0.71922,1.4617,0.00469,0.56316,0.59355,0.60131,0.26765,1.79386,1.60517,0.03256,0.00187754,0.00187754,0.00187754
26,719.36,0.72577,1.44714,0.00487,0.58062,0.55713,0.56847,0.24222,1.80173,1.62642,0.03296,0.00186737,0.00186737,0.00186737
27,746.233,0.72249,1.43759,0.00502,0.62496,0.61069,0.6095,0.28067,1.70541,1.92303,0.03137,0.00185681,0.00185681,0.00185681
28,772.874,0.71894,1.45428,0.0044,0.54993,0.56984,0.55469,0.2529,1.77119,1.75928,0.03321,0.00184588,0.00184588,0.00184588
29,799.681,0.74382,1.41774,0.00549,0.60251,0.61826,0.61062,0.3038,1.55294,1.68463,0.03016,0.00183459,0.00183459,0.00183459
30,826.421,0.74025,1.41891,0.0048,0.57381,0.60428,0.55979,0.26287,1.67369,1.70453,0.03018,0.00182294,0.00182294,0.00182294
31,852.978,0.73614,1.42148,0.00478,0.54469,0.59808,0.56778,0.28169,1.42977,1.7685,0.02906,0.00181093,0.00181093,0.00181093
32,879.671,0.72334,1.40803,0.00487,0.59804,0.60061,0.60055,0.28299,1.68746,1.85865,0.03224,0.00179856,0.00179856,0.00179856
33,906.431,0.74618,1.39494,0.00507,0.60842,0.62683,0.63044,0.296,1.70407,1.72972,0.02985,0.00178586,0.00178586,0.00178586
34,932.956,0.73361,1.39137,0.00448,0.66576,0.64952,0.66282,0.31995,1.63746,1.5639,0.02887,0.00177281,0.00177281,0.00177281
35,959.785,0.73287,1.37281,0.0043,0.62759,0.61926,0.63898,0.32063,1.56425,1.55317,0.02654,0.00175943,0.00175943,0.00175943
