NAN	0	0.0001	0.001	0.010	0.100	1	INF
0	55	41	40	39	26	23	23
10	37	37	34	29	29	23	23
50	30	30	26	26	33	23	23
100	27	27	31	41	35	23	23
200	33	33	33	35	33	23	23
250	23	23	23	23	23	23	23
255	23	23	23	23	23	23	23
