Viscosity,5MHz Correction,15MHz Correction
12.8,1,1.147143726
12.9,1,1.147155391
13,1,1.147151576
13.1,1,1.147132571
13.2,1,1.147098656
13.3,1,1.147050106
13.4,1,1.14698719
13.5,1,1.146910168
13.6,1,1.146819297
13.7,1,1.146714825
13.8,1,1.146596997
13.9,1,1.14646605
14,1,1.146322216
14.1,1,1.146165722
14.2,1,1.14599679
14.3,1,1.145815637
14.4,1,1.145622474
14.5,1,1.145417507
14.6,1,1.145200938
14.7,1,1.144972965
14.8,1,1.144733781
14.9,1,1.144483575
15,1,1.14422253
15.1,1,1.143950827
15.2,1,1.143668643
15.3,1,1.143376149
15.4,1,1.143073515
15.5,1,1.142760906
15.6,1,1.142438482
15.7,1,1.142106403
15.8,1,1.141764822
15.9,1,1.141413891
16,1,1.141053758
16.1,1,1.140684569
16.2,1,1.140306464
16.3,1,1.139919584
16.4,1,1.139524064
16.5,1,1.139120039
16.6,1,1.138707638
16.7,1,1.13828699
16.8,1,1.137858221
16.9,1,1.137421453
17,1,1.136976808
17.1,1,1.136524403
17.2,1,1.136064355
17.3,1,1.135596777
17.4,1,1.135121781
17.5,1,1.134639477
17.6,1,1.134149971
17.7,1,1.133653369
17.8,1,1.133149775
17.9,1,1.132639289
18,1,1.132122013
18.1,1,1.131598043
18.2,1,1.131067475
18.3,1,1.130530405
18.4,1,1.129986924
18.5,1,1.129437123
18.6,1,1.128881092
18.7,1,1.12831892
18.8,1,1.127750691
18.9,1,1.127176492
19,1,1.126596405
19.1,1,1.126010513
19.2,1,1.125418896
19.3,1,1.124821633
19.4,1,1.124218803
19.5,1,1.123610482
19.6,1,1.122996746
19.7,1,1.122377669
19.8,1,1.121753324
19.9,1,1.121123783
20,1,1.120489116
20.1,1,1.119849395
20.2,1,1.119204686
20.3,1,1.118555058
20.4,1,1.117900578
20.5,1,1.11724131
20.6,1,1.11657732
20.7,1,1.11590867
20.8,1,1.115235424
20.9,1,1.114557643
21,1,1.113875389
21.1,1,1.11318872
21.2,1,1.112497697
21.3,1,1.111802377
21.4,1,1.111102818
21.5,1,1.110399076
21.6,1,1.109691208
21.7,1,1.108979269
21.8,1,1.108263312
21.9,1,1.107543391
22,1,1.10681956
22.1,1,1.106091871
22.2,1,1.105360374
22.3,1,1.104625121
22.4,1,1.103886162
22.5,1,1.103143546
22.6,1,1.102397323
22.7,1,1.10164754
22.8,1,1.100894245
22.9,1,1.100137485
23,1,1.099377306
23.1,1,1.098613755
23.2,1,1.097846877
23.3,1,1.097076716
23.4,1,1.096303317
23.5,1,1.095526723
23.6,1,1.094746977
23.7,1,1.093964122
23.8,1,1.093178201
23.9,1,1.092389254
24,1,1.091597323
24.1,1,1.090802449
24.2,1,1.090004671
24.3,1,1.08920403
24.4,1,1.088400565
24.5,1,1.087594315
24.6,1,1.086785317
24.7,1,1.08597361
24.8,1,1.085159232
24.9,1,1.08434222
25,1,1.08352261
25.1,1,1.082700439
25.2,1,1.081875742
25.3,1,1.081048556
25.4,1,1.080218915
25.5,1,1.079386855
25.6,1,1.078552409
25.7,1,1.077715612
25.8,1,1.076876497
25.9,1,1.076035098
26,1,1.075191448
26.1,1,1.074345579
26.2,1,1.073497524
26.3,1,1.072647315
26.4,1,1.071794983
26.5,1,1.07094056
26.6,1,1.070084077
26.7,1,1.069225565
26.8,1,1.068365054
26.9,1,1.067502574
27,1,1.066638155
27.1,1,1.065771826
27.2,1,1.064903618
27.3,1,1.064033558
27.4,1,1.063161675
27.5,1,1.062287998
27.6,1,1.061412555
27.7,1,1.060535374
27.8,1,1.059656483
27.9,1,1.058775908
28,1,1.057893677
28.1,1,1.057009816
28.2,1,1.056124353
28.3,1,1.055237313
28.4,1,1.054348723
28.5,1,1.053458608
28.6,1,1.052566993
28.7,1,1.051673906
28.8,1,1.050779369
28.9,1,1.049883409
29,1,1.048986049
29.1,1,1.048087315
29.2,1,1.04718723
29.3,1,1.046285819
29.4,1,1.045383105
29.5,1,1.044479112
29.6,1,1.043573863
29.7,1,1.042667381
29.8,1,1.041759689
29.9,1,1.04085081
30,1,1.039940766
30.1,1,1.03902958
30.2,1,1.038117274
30.3,1,1.037203869
30.4,1,1.036289387
30.5,1,1.035373851
30.6,1,1.03445728
30.7,1,1.033539696
30.8,1,1.032621121
30.9,1,1.031701575
31,1,1.030781078
31.1,1,1.029859651
31.2,1,1.028937315
31.3,1,1.028014088
31.4,1,1.027089992
31.5,1,1.026165045
31.6,1,1.025239267
31.7,1,1.024312678
31.8,1,1.023385297
31.9,1,1.022457142
32,1,1.021528233
32.1,1,1.020598589
32.2,1,1.019668227
32.3,1,1.018737166
32.4,1,1.017805424
32.5,1,1.01687302
32.6,1,1.015939971
32.7,1,1.015006295
32.8,1,1.014072009
32.9,1,1.013137132
33,1,1.012201679
33.1,1,1.011265669
33.2,1,1.010329118
33.3,1,1.009392043
33.4,1,1.00845446
33.5,1,1.007516387
33.6,1,1.00657784
33.7,1,1.005638834
33.8,1,1.004699387
33.9,1,1.003759513
34,1,1.002819229
34.1,1,1.00187855
34.2,1,1.000937493
34.3,1,0.999996071
34.4,1,0.999054302
34.5,1,0.998112199
34.6,1,0.997169778
34.7,1,0.996227053
34.8,1,0.99528404
34.9,1,0.994340753
35,1,0.993397207
35.1,1,0.992453415
35.2,1,0.991509393
35.3,1,0.990565154
35.4,1,0.989620712
35.5,1,0.988676081
35.6,1,0.987731275
35.7,1,0.986786307
35.8,1,0.985841192
35.9,1,0.984895942
36,1,0.98395057
36.1,1,0.98300509
36.2,1,0.982059515
36.3,1,0.981113858
36.4,1,0.980168132
36.5,1,0.979222348
36.6,1,0.978276521
36.7,1,0.977330661
36.8,1,0.976384783
36.9,1,0.975438897
37,1,0.974493016
37.1,1,0.973547153
37.2,1,0.972601318
37.3,1,0.971655525
37.4,1,0.970709783
37.5,1,0.969764106
37.6,1,0.968818505
37.7,1,0.96787299
37.8,1,0.966927574
37.9,1,0.965982267
38,1,0.965037081
38.1,1,0.964092027
38.2,1,0.963147115
38.3,1,0.962202356
38.4,1,0.961257761
38.5,1,0.960313341
38.6,1,0.959369105
38.7,1,0.958425066
38.8,1,0.957481231
38.9,1,0.956537613
39,1,0.955594221
39.1,1,0.954651065
39.2,1,0.953708155
39.3,1,0.952765501
39.4,1,0.951823113
39.5,1,0.950881
39.6,1,0.949939171
39.7,1,0.948997637
39.8,1,0.948056407
39.9,1,0.947115489
40,1,0.946174894
40.1,1,0.94523463
40.2,1,0.944294706
40.3,1,0.943355132
40.4,1,0.942415916
40.5,1,0.941477067
40.6,1,0.940538593
40.7,1,0.939600504
40.8,1,0.938662808
40.9,1,0.937725512
41,1,0.936788627
41.1,1,0.935852159
41.2,1,0.934916117
41.3,1,0.93398051
41.4,1,0.933045345
41.5,1,0.93211063
41.6,1,0.931176373
41.7,1,0.930242582
41.8,1,0.929309265
41.9,1,0.928376429
42,1,0.927444083
