Low,High
0,0
0.372009375,0.241638261
-0.686549642,-0.07732453
-2.411596514,-1.129874448
-3.727535366,-1.750531443
-3.943853447,-3.0377338
-4.393461009,-3.154988825
-4.950892281,-3.5217676
-5.175331596,-3.890062249
-5.175331596,-4.008886469
-5.841273391,-4.484256323
-6.065345937,-3.974567428
-5.724439905,-3.1340966
-5.617558947,-3.716519226
-5.176794093,-4.100529859
-5.169203518,-4.065770222
-4.393293939,-3.923648876
-3.252871314,-4.383079128
-3.013980562,-4.645109383
-3.563813742,-4.285189186
-2.780500306,-3.807744274
-2.344033739,-3.49233235
-2.911221062,-3.431130587
-2.345496235,-3.632375795
-2.567445701,-3.150484182
-2.575397879,-2.806066521
-1.470656231,-2.47913946
-0.467178956,-2.092521471
-0.911221062,-2.670295027
-0.248208883,-2.621733643
0.319352772,-1.615704257
0.541622624,-1.368067289
1.535665602,-1.145328809
1.868998936,-0.685997175
2.311226287,-0.178423239
2.525008309,0.338486005
2.629704947,0.336795518
3.413767048,0.069886273
3.311788948,0.790974532
3.983691426,0.761709458
4.989442201,1.023511572
5.534449535,1.267844878
5.639780608,1.257045829
5.761580123,1.174142436
6.769176409,1.067787003
7.879086467,1.56332562
8.462123896,2.146681186
8.79545723,2.132979474
9.234404378,1.755452306
10.12822944,1.772961645
10.33890442,2.179110877
10.22244589,2.604012402
11.09890609,2.672909635
11.41953047,2.740097782
11.88781267,3.1
12.56155846,3.3
13.6467827,3.5
13.54312541,4
12.98746705,4.2
13.66052087,4.1
15.08212625,4.2
16.93731949,4.8
17.36718813,5
16.89701186,5.3
16.24139047,5.448658516
16.56181619,5.639387417
17.54597171,5.988577175
18.59868342,5.853970193
19.36889022,5.475413098
18.75773283,5.746278974
18.66890763,6.460725484
20.10361964,6.571011642
18.31369072,7.071011642
18.90990456,7.696209649
20.56193754,7.805276523
20.40328575,8.026588388
22.10021933,7.797616834
22.55890192,7.924036474
20.7756704,7.924036474
21.55322305,8.559377792
22.21815219,8.674036474
21.98933335,8.907048802
22.8578292,9.504109201
23.09639146,9.611128574
24.34656431,10.23693263
25.09070054,10.23693263
23.85856607,10.35350147
23.89394279,9.969290908
24.65650356,10.61227154
25.19363692,10.36227154
26.2109281,10.48626611
25.75963466,10.96707835
25.64892589,11.45122077
26.78341095,11.83674533
26.65600001,11.1909774
27.3119532,11.43186199
27.65976557,11.70122077
27.85856607,12.06824609
28.86546812,12.06824609
28.41417468,12.56824609
28.0659692,12.42509443
28.653707,12.2105382
29.66318338,12.60351883
29.87016651,12.82570216
28.96129823,12.80677314
29.0815442,13.04931707
29.89394279,13.56824609
30.54426144,13.80631239
30.29691743,13.28718102
31.32037367,13.19229769
31.20866064,13.69229769
31.07874765,13.53741363
32.43395501,13.78741363
32.09306666,14.17293819
31.74541432,14.17293819
32.55781291,14.17293819
32.66925712,14.27996168
32.20159801,14.52996168
31.74821087,14.52996168
32.64528654,14.63698105
33.54370425,14.64550821
33.9687449,14.26826631
33.84849893,14.73994437
33.0887987,15.11696152
34.31866339,15.36696152
34.75161317,15.61696152
34.51700345,15.382925
34.27879737,15.25570453
34.51359926,15.632925
34.53403662,15.98949039
35.0887987,15.71030163
35.30207823,15.85396583
34.9687449,16.382925
35.65199673,16.382925
35.42213204,16.23949039
35.19931579,15.96860572
34.96627052,16.23484581
34.60742923,16.48484581
35.39472714,16.20565705
35.93691036,16.59932125
36.25889555,16.73484581
35.82725893,16.59118161
35.94789017,16.59118161
36.30634619,16.84118161
36.19651924,16.95565705
36.62516834,16.95565705
36.84849893,16.96355353
36.28454831,17.19820098
36.3868952,17.5756251
36.4023199,17.19728745
37.4096066,17.41878226
37.3810459,17.56267643
36.92669483,17.46355353
37.38801529,17.96355353
37.72134862,17.96355353
37.38409865,17.93413481
37.50472989,17.93413481
38.29183501,17.93413481
37.83806322,18.04001031
38.62250148,18.03255424
38.52985257,18.04115418
38.96627052,18.54115418
38.16059227,18.29001031
38.71743198,18.29001031
38.61455684,18.16217793
38.71305322,18.30630243
38.93691036,18.31965937
38.85276688,18.29770249
39.52718997,18.66217793
39.39472714,19.02647043
39.05076532,18.78414093
39.94503052,18.67826543
39.16853691,19.3995773
39.50187024,18.89116031
40.18610022,19.02668487
40.18610022,19.27668487
39.61455684,19.39116031
40.06832863,19.39116031
39.61455684,18.91966549
39.48275269,18.91966549
40.60052428,19.03414093
40.27836386,19.66217793
40.17139656,19.40334729
40.39720548,19.2753103
40.62516834,19.29142354
41.06566176,19.54142354
41.06566176,19.88232967
40.97301286,19.60950145
41.1885746,19.75408772
41.17798006,20.02668487
40.72420827,19.89116031
40.48561692,19.7254115
40.48561692,19.49011593
41.0575416,19.63309656
41.84197986,19.76862112
41.61455684,19.76862112
41.29183501,19.98105422
41.06139381,20.12403485
41.39472714,20.01862112
42.08651649,20.62564049
42.07627327,20.49011593
42.51943355,20.49131947
42.42639999,20.49131947
42.08266429,20.59696427
41.73232843,20.45237801
41.62250148,20.34552967
41.17139656,20.23105422
41.61455684,20.33790257
42.96241831,20.59696427
42.51943355,20.49698766
41.96627052,19.85888394
42.06898656,20.35240139
42.51249873,20.98105422
43.09392103,20.56443202
42.7605877,20.68557325
42.96627052,20.58801806
42.85276688,20.58801806
42.62908498,21.07372517
42.73232843,21.20237801
42.73232843,20.70071196
42.62250148,20.57205912
43.4096066,20.96687683
43.30634619,20.96687683
42.73232843,21.10240139
42.06139381,21.22354262
42.64300432,21.47354262
43.41945468,21.22354262
43.97633766,21.10240139
44.11068227,21.21687683
43.5374332,21.08801806
42.96627052,21.22354262
43.41208098,21.3000487
43.62516834,21.28385794
43.95583481,21.32205912
44.51943355,21.33801806
44.30634619,21.33801806
43.97301286,21.08801806
43.4096066,21.33801806
43.74293993,21.58801806
43.65270293,21.22354262
43.75545062,21.58801806
44.18942502,21.69320036
44.32643223,21.32872491
44.43643498,21.44320036
44.08651649,21.44320036
44.29960385,21.33801806
44.63293718,21.34529118
44.74293993,21.70231056
45.07627327,21.83801806
45.52718997,21.61652325
45.19385664,21.97354262
44.75052056,21.44965988
44.86052331,21.30461036
45.00050344,21.30650822
45.23756928,22.06580137
44.657487,21.92842781
44.09639146,21.45711595
44.53990363,21.34264051
44.41984982,21.45711595
44.29960385,21.70047347
44.96627052,21.44113146
45.41718722,21.32665602
45.18656994,22.04815084
45.61945361,22.03337829
45.63397393,21.70711595
46.09816474,21.47170554
45.87465835,21.46199734
45.44154912,21.33293231
45.67368874,21.69759099
45.10310165,22.05461036
44.54730817,22.05461036
45.31410261,21.9190858
45.07627327,21.4190858
45.08385389,21.19759099
45.41414423,22.19759099
45.30396539,22.06206643
45.19665319,21.80461036
45.51249873,22.18367539
45.95583481,22.29815084
46.76748975,22.05461036
46.54398337,22.05461036
45.52985257,22.05461036
45.66384531,22.17533873
44.88735169,22.53218707
45.09639146,22.30461036
45.20657029,22.30461036
45.31657304,22.55461036
45.75318316,22.56206643
45.63293718,22.56206643
45.75052056,22.4190858
45.98071532,22.03981417
46.19665319,22.28981417
46.75318316,22.6690858
47.22068502,22.80461036
46.99471216,22.92533873
46.54717311,22.28005703
46.90091115,22.28005703
45.657487,22.42533873
45.41984982,22.89666251
45.74293993,22.53981417
46.76976832,22.4327948
46.43415642,22.30331624
46.09392103,22.0435591
46.1058982,22.53005703
46.21397483,22.78981417
46.31689917,22.78981417
46.9930989,22.89666251
47.22068502,22.64666251
47.32804549,22.78981417
47.22422553,22.78981417
46.33808048,23.17533873
45.99082033,23.17533873
46.86318591,23.17533873
46.85276688,22.56831936
46.97301286,22.9327948
47.09059623,22.5375131
46.65482865,22.7875131
46.32415367,23.28981417
46.20409986,23.17533873
46.42725436,23.17533873
47.22068502,22.92533873
47.12441753,22.78005703
47.56757781,22.88690537
47.33051197,23.25742681
46.76748975,23.25742681
46.76976832,23.14666251
47.31657304,23.40410666
46.97301286,23.03981417
47.6536348,23.03981417
