epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.1244,6.16633,33.4447,0.0328,0.00508,0.41379,0.03716,0.00885,5.84526,3.92102,0.01796,0.00589474,0.00196491,0.00589474,0.00196491,0.0862456,0.0823158,0.00589474,0.00196491
2,19.6868,2.61697,3.29384,0.00571,0.47482,0.7931,0.5955,0.29223,2.88328,2.04427,0.00382,0.0118918,0.00396394,0.0118918,0.00396394,0.0722427,0.0643148,0.0118918,0.00396394
3,28.4428,2.69237,1.93847,0.0067,0.54687,0.47762,0.56397,0.26875,3.09738,1.76722,0.00627,0.0178773,0.00595909,0.0178773,0.00595909,0.0582281,0.04631,0.0178773,0.00595909
4,37.2822,3.0768,1.81927,0.00788,0.5769,0.47414,0.563,0.27703,3.12767,1.77753,0.01105,0.0238422,0.00794741,0.0238422,0.00794741,0.0441931,0.0282983,0.0238422,0.00794741
5,45.8762,3.38237,1.9699,0.01164,0.50489,0.5754,0.55113,0.1931,3.4217,2.05932,0.01227,0.0297781,0.00992602,0.0297781,0.00992602,0.0301289,0.0102769,0.0297781,0.00992602
6,54.2925,3.51121,1.88358,0.01651,0.55184,0.38793,0.42408,0.16744,3.41978,2.79487,0.01625,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,62.7815,3.37384,2.25414,0.01209,0.70383,0.30172,0.42347,0.16122,3.88394,2.35953,0.01641,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,71.091,3.52058,1.84967,0.01014,0.54584,0.62207,0.6165,0.18623,4.65049,2.53975,0.01494,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,79.9442,4.70241,1.46792,0.00756,0.74496,0.69828,0.76884,0.39278,2.46018,1.41934,0.00557,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,89.0274,4.08397,1.46854,0.00813,0.52618,0.60186,0.65775,0.22643,4.53615,1.50301,0.00735,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,98.3901,3.80205,1.57575,0.0144,0.52151,0.71144,0.62472,0.30029,2.63758,1.59998,0.00578,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,107.469,3.87538,1.61578,0.00824,0.22241,0.39655,0.1991,0.02639,6.85157,2.02092,0.01227,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
