epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.449,2.66769,6.07581,0.00743,0.75758,0.74016,0.83302,0.53359,1.81006,1.19247,0.00526,0.00598256,0.00199419,0.00598256,0.00199419,0.0860407,0.0820523,0.00598256,0.00199419
2,256.98,1.93355,0.80033,0.0026,0.80389,0.78721,0.87525,0.58201,1.9771,0.87837,0.00529,0.0119818,0.00399394,0.0119818,0.00399394,0.07204,0.0640521,0.0119818,0.00399394
3,375.034,2.34769,0.65877,0.00309,0.79209,0.79492,0.88795,0.58973,2.11117,0.8933,0.00414,0.0179782,0.00599272,0.0179782,0.00599272,0.0580363,0.0460509,0.0179782,0.00599272
4,489.014,2.81678,0.68071,0.00319,0.7173,0.82963,0.83347,0.4019,3.01603,1.09403,0.00644,0.0239694,0.00798979,0.0239694,0.00798979,0.0440275,0.0280479,0.0239694,0.00798979
5,602.241,2.82128,0.6656,0.00296,0.7122,0.85294,0.84038,0.51623,2.36101,0.93744,0.00619,0.0299533,0.00998442,0.0299533,0.00998442,0.0300114,0.0100426,0.0299533,0.00998442
6,716.965,2.51157,0.69241,0.00277,0.86803,0.8725,0.92397,0.48863,2.79662,0.84649,0.00512,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,828.783,2.16059,0.56606,0.00193,0.84551,0.87428,0.93046,0.6078,2.1683,0.71723,0.00592,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,940.354,2.11496,0.52029,0.00176,0.86252,0.90909,0.94434,0.61054,2.20884,0.6962,0.00693,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1055.63,2.00726,0.44519,0.00163,0.93573,0.94301,0.97138,0.61983,2.35153,0.49763,0.00758,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1167.19,1.98525,0.45092,0.00143,0.94814,0.92131,0.96882,0.59389,2.42579,0.57519,0.0077,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1278.92,1.85408,0.44111,0.00148,0.96029,0.93652,0.97616,0.66867,2.10855,0.48692,0.00774,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1393.8,1.75168,0.44482,0.00136,0.96113,0.9468,0.97603,0.66083,2.12566,0.50565,0.00728,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1505.9,1.82072,0.40629,0.00124,0.96551,0.94301,0.97931,0.67208,2.17214,0.47483,0.00816,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1617.72,1.71327,0.3705,0.00124,0.9649,0.95232,0.98092,0.68989,2.15068,0.42851,0.00764,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1731.76,1.73517,0.3826,0.00117,0.95627,0.94233,0.97789,0.66541,2.16017,0.52197,0.00746,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
