epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.992,3.24769,6.40853,0.01598,0.43088,0.39777,0.34804,0.21771,1.60229,0.84144,0.00559,0.00598266,0.00199422,0.00598266,0.00199422,0.0860405,0.082052,0.00598266,0.00199422
2,249.957,1.4878,0.70779,0.00261,0.56211,0.36579,0.44482,0.25577,2.00066,0.83992,0.00771,0.0119819,0.00399398,0.0119819,0.00399398,0.0720397,0.0640518,0.0119819,0.00399398
3,363.635,1.85953,0.60781,0.00256,0.50502,0.63839,0.58021,0.34673,1.98205,0.59658,0.00656,0.0179783,0.00599276,0.0179783,0.00599276,0.0580361,0.0460506,0.0179783,0.00599276
4,473.987,2.32026,0.55887,0.00259,0.59387,0.58414,0.59285,0.35663,1.97049,0.61314,0.00373,0.0239695,0.00798983,0.0239695,0.00798983,0.0440273,0.0280476,0.0239695,0.00798983
5,583.669,2.20898,0.54381,0.0024,0.66195,0.56189,0.61781,0.32263,2.14365,0.64769,0.00445,0.0299534,0.00998446,0.0299534,0.00998446,0.0300112,0.0100423,0.0299534,0.00998446
6,693.747,2.09237,0.5516,0.00216,0.62795,0.56606,0.58011,0.33471,2.10988,0.65099,0.00793,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,801.932,1.92122,0.53441,0.00209,0.67828,0.57997,0.62592,0.36481,2.18798,0.71571,0.00675,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,910.091,1.78286,0.50441,0.00192,0.69323,0.63421,0.69645,0.39209,1.80296,0.61501,0.00616,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1020.67,1.71104,0.48775,0.00171,0.75269,0.63839,0.71323,0.38277,2.34263,0.55086,0.00642,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1129.02,1.70644,0.46283,0.00171,0.81029,0.65344,0.75638,0.46672,1.78078,0.5309,0.00611,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1237.6,1.63773,0.44779,0.00157,0.76966,0.60918,0.7051,0.40442,1.66224,0.58486,0.00473,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1348.89,1.65675,0.43965,0.00143,0.74674,0.64792,0.71916,0.41474,1.64473,0.57936,0.00587,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1457.14,1.55466,0.43994,0.00151,0.77632,0.64673,0.7347,0.43743,1.75331,0.56215,0.00652,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1565.55,1.44616,0.43294,0.00137,0.7278,0.61057,0.67809,0.39652,1.66579,0.58958,0.00619,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1675.09,1.50526,0.41616,0.00126,0.77945,0.69308,0.75682,0.43811,2.01286,0.51517,0.00694,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1785.26,1.47203,0.39296,0.00116,0.72396,0.66342,0.72771,0.42249,1.79666,0.53844,0.00557,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1893.3,1.35443,0.39476,0.00111,0.7917,0.66607,0.75285,0.46326,1.77794,0.51923,0.00662,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,2001.72,1.34779,0.36782,0.00107,0.74743,0.63794,0.71479,0.42079,1.87791,0.57615,0.0061,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,2112.4,1.32803,0.33139,0.00105,0.73473,0.6064,0.69116,0.40889,1.76563,0.57608,0.00713,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,2220.44,1.29253,0.32543,0.00102,0.78072,0.64673,0.74643,0.43276,1.73904,0.54893,0.00613,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,2328.21,1.30783,0.31019,0.00098,0.72637,0.61474,0.71048,0.4215,1.79209,0.55282,0.00578,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2440.21,1.29319,0.28454,0.00093,0.72414,0.63893,0.71165,0.4265,1.65016,0.56372,0.00546,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,2549.06,1.28034,0.28357,0.00089,0.69896,0.62031,0.69725,0.4102,1.89699,0.5736,0.00622,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,2657.63,1.26464,0.27289,0.00097,0.74781,0.62689,0.73404,0.43793,1.7366,0.55399,0.00507,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,2767.71,1.18887,0.24109,0.00084,0.73144,0.61892,0.70594,0.41145,1.93624,0.59506,0.00576,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,2876.55,1.20328,0.22689,0.00082,0.66109,0.64027,0.68417,0.40598,1.80059,0.57954,0.00571,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,2985.05,1.19579,0.20883,0.00085,0.72532,0.58693,0.6634,0.38948,1.88996,0.61992,0.00575,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,3094.14,1.15971,0.18901,0.00076,0.59478,0.56189,0.59369,0.34267,1.88719,0.71209,0.0056,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,3204.18,1.1732,0.18825,0.00075,0.68432,0.5605,0.65017,0.39448,1.82116,0.58358,0.0048,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,3312.29,1.13297,0.17567,0.00077,0.73037,0.58019,0.68084,0.40572,1.98347,0.60179,0.00623,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,3420.05,1.09667,0.15851,0.00077,0.70678,0.63004,0.69458,0.41332,1.84168,0.61995,0.00517,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,3530.8,1.07475,0.14612,0.00074,0.74363,0.64256,0.70636,0.40687,2.10376,0.63266,0.00675,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,3638.99,1.09486,0.13694,0.00069,0.72019,0.65867,0.71463,0.40574,2.05731,0.60581,0.00564,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,3747.25,1.07847,0.13116,0.00072,0.75399,0.64395,0.69806,0.41324,2.04996,0.60301,0.00587,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,3857.87,1.06619,0.12718,0.00071,0.74244,0.63344,0.70792,0.4385,2.0394,0.62876,0.00605,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,3967.72,1.05529,0.12389,0.00069,0.70329,0.64117,0.70224,0.40276,2.12275,0.62094,0.00639,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,4075.76,1.04251,0.12168,0.00061,0.66158,0.64117,0.67716,0.41532,1.93377,0.64855,0.0054,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,4204.75,0.98871,0.10917,0.00065,0.65161,0.61613,0.65752,0.42655,1.84473,0.66717,0.00409,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,4328.25,0.9641,0.10701,0.00065,0.70158,0.60918,0.67298,0.41502,2.01618,0.67764,0.00613,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,4451.42,0.93946,0.10017,0.00059,0.71915,0.57693,0.65622,0.39898,1.9829,0.66328,0.00546,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,4575.95,0.97726,0.10631,0.00063,0.68944,0.62448,0.6823,0.4093,2.05081,0.6938,0.00554,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,4699.27,0.96187,0.09881,0.00062,0.67429,0.64498,0.68867,0.41821,2.13039,0.64314,0.00585,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,4813.81,0.919,0.0966,0.00064,0.65285,0.60223,0.65584,0.38665,2.10973,0.67795,0.00561,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,4930.07,0.962,0.09788,0.00057,0.66855,0.5807,0.65614,0.3983,2.05479,0.65986,0.00458,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,5044.32,0.96759,0.09466,0.00062,0.62769,0.62726,0.64308,0.3827,2.03447,0.6683,0.0051,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,5158.3,0.95107,0.09338,0.00058,0.64282,0.66332,0.67159,0.40563,2.09187,0.65596,0.00572,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,5273.58,0.90143,0.08688,0.00057,0.69371,0.62587,0.69067,0.41438,2.13209,0.68773,0.00639,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,5388.27,0.88471,0.08572,0.00056,0.65325,0.64256,0.6608,0.40128,2.04553,0.68535,0.0057,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,5502.31,0.88799,0.08667,0.00052,0.63719,0.6217,0.65079,0.39729,1.99501,0.67466,0.00501,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,5617.39,0.91019,0.08852,0.00062,0.65522,0.6132,0.66839,0.41657,2.07909,0.70243,0.00553,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,5732.41,0.88023,0.08122,0.00053,0.69694,0.67807,0.7068,0.43605,2.14977,0.64668,0.00638,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,5846.75,0.91819,0.08247,0.00052,0.70024,0.63031,0.67985,0.40909,2.15838,0.70725,0.00617,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,5961.64,0.88348,0.07987,0.0005,0.70799,0.66898,0.70025,0.42428,2.1878,0.67536,0.00644,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
