epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.753,7.3048,15.6514,0.05076,0.00084,0.24615,0.00053,0.00016,5.50508,1.44592,0.02228,0.00589091,0.00196364,0.00589091,0.00196364,0.0862545,0.0823273,0.00589091,0.00196364
2,19.6594,3.40542,1.71579,0.01018,0.00715,1,0.01677,0.00635,3.22091,1.26781,0.01633,0.011888,0.00396267,0.011888,0.00396267,0.0722516,0.0643263,0.011888,0.00396267
3,28.2195,2.50204,1.3121,0.00803,0,0,0,0,8.3627,1.81307,0.05402,0.0178734,0.00595781,0.0178734,0.00595781,0.0582371,0.0463214,0.0178734,0.00595781
4,36.598,2.53911,1.20993,0.00953,0.00827,0.72308,0.09648,0.02881,3.92703,1.20422,0.01273,0.0238384,0.00794614,0.0238384,0.00794614,0.0442021,0.0283098,0.0238384,0.00794614
5,45.291,3.07062,1.17391,0.01239,0.05106,0.09231,0.02539,0.00968,2.31232,1.56122,0.00805,0.0297742,0.00992475,0.0297742,0.00992475,0.0301379,0.0102884,0.0297742,0.00992475
6,53.8958,2.48454,1.2249,0.01107,0.16562,0.26154,0.15129,0.08336,2.57645,1.18938,0.00822,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,62.3774,3.55401,1.08948,0.01338,0.24737,0.24615,0.15364,0.04018,3.08419,1.15931,0.01388,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,70.6276,3.61341,1.14204,0.01733,0.11504,0.15385,0.07787,0.02281,3.64583,1.12067,0.02547,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,79.0057,3.42289,1.04416,0.01125,0.313,0.32308,0.24332,0.10942,2.6719,1.05858,0.00717,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,87.2986,2.72024,0.97187,0.01036,0.22113,0.38462,0.22188,0.09345,2.74539,1.30952,0.00425,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,95.8006,3.82627,0.91724,0.00481,0.39338,0.20961,0.26285,0.09892,3.40998,0.95167,0.00533,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,104.294,2.49996,1.01531,0.00417,0.31266,0.44615,0.33613,0.19424,2.26398,0.84403,0.00451,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,112.426,2.09123,0.75159,0.00395,0.32721,0.33846,0.31715,0.17263,2.30374,1.29746,0.00608,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,120.721,3.23011,0.83743,0.00584,0.382,0.32334,0.32159,0.16275,2.73263,2.28729,0.00396,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,128.888,3.03458,0.79333,0.00491,0.63824,0.41538,0.46259,0.21799,2.14121,0.89762,0.00419,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,137.241,2.2856,0.66285,0.00456,0.42739,0.47692,0.35881,0.18298,2.2968,1.02186,0.00527,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,145.44,2.73335,0.70613,0.00448,0.35479,0.46154,0.36687,0.17747,2.17695,0.82932,0.00513,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,153.627,3.30677,0.69041,0.004,0.46982,0.46154,0.38239,0.14692,3.26802,1.05226,0.00503,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,161.823,2.53336,0.64866,0.0036,0.34399,0.44615,0.32493,0.16164,1.71805,1.0008,0.00306,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,170.281,2.0339,0.66659,0.00494,0.4991,0.42924,0.37635,0.16469,2.0423,0.93891,0.00641,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,179.409,2.67526,0.62166,0.00349,0.43961,0.55385,0.43485,0.15893,3.15951,0.83574,0.00316,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,188.659,2.8645,0.59779,0.00301,0.46497,0.61538,0.51592,0.239,3.00228,0.65048,0.00314,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,197.961,2.56843,0.56776,0.00303,0.40246,0.53846,0.47246,0.26324,2.23833,0.69071,0.00334,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,207.246,2.29919,0.54257,0.0028,0.43859,0.47692,0.44831,0.23987,2.24573,0.8015,0.00267,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,216.422,2.19022,0.51971,0.00241,0.49503,0.49776,0.4898,0.26132,2.17454,0.68769,0.00292,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,225.518,2.28967,0.46634,0.00247,0.51598,0.53846,0.52679,0.25538,2.74275,0.65234,0.00423,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,234.131,2.3719,0.45003,0.0023,0.58782,0.52308,0.56153,0.31363,2.41449,0.62722,0.0025,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,243.02,2.21992,0.40908,0.00202,0.56429,0.41538,0.47821,0.2291,2.88815,0.7009,0.00521,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,251.454,2.41048,0.41264,0.0023,0.39613,0.70769,0.53412,0.27034,2.78541,0.67968,0.00466,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,260.158,2.00223,0.37529,0.00207,0.51089,0.61538,0.53339,0.28767,2.50223,0.62493,0.00408,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,268.281,2.03788,0.33482,0.00188,0.55595,0.50769,0.51722,0.30295,1.98625,0.65261,0.0025,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,276.549,2.21319,0.29547,0.00187,0.66432,0.41538,0.5255,0.2822,2.13599,0.66087,0.00317,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,284.711,2.07961,0.24481,0.00198,0.64239,0.47692,0.49262,0.26895,2.38126,0.68214,0.00305,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,292.932,1.97643,0.22929,0.00163,0.49645,0.55385,0.47157,0.25757,2.12361,0.7654,0.00245,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,301.366,2.08283,0.20843,0.00172,0.5107,0.53846,0.46195,0.26709,1.89666,0.85181,0.00265,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,309.772,1.82717,0.20446,0.002,0.52512,0.52742,0.48947,0.2842,2.1265,0.82122,0.00235,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,318.302,2.174,0.21645,0.00161,0.39297,0.38462,0.42789,0.21832,2.10147,0.92336,0.00266,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,326.471,2.14694,0.23289,0.00283,0.55624,0.49231,0.52106,0.25349,2.77536,0.68828,0.00751,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,334.708,2.2545,0.21122,0.00478,0.46413,0.55385,0.51535,0.28033,2.54323,0.74891,0.00361,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,342.94,1.9664,0.18686,0.00235,0.42664,0.53846,0.44249,0.21122,2.33932,0.82924,0.00429,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
