feature,importance
t124_f34,0.04393399
t0_f28,0.02776182
t0_f42,0.026355587
t21_f35,0.024208775
t17_f61,0.022807263
t127_f34,0.01751944
t108_f34,0.01648929
t1_f42,0.014796135
t34_f35,0.014384181
t22_f35,0.014138513
t87_f35,0.012041
t0_f59,0.011264586
t0_f6,0.010329673
t117_f47,0.010272849
t0_f16,0.009856552
t85_f35,0.009543621
t31_f35,0.009160712
t0_f4,0.008495169
t64_f61,0.007897586
t31_f16,0.0073362943
t4_f4,0.007095183
t50_f61,0.0068403906
t27_f35,0.006113785
t32_f35,0.005917557
t0_f40,0.0056962664
t2_f42,0.0055880407
t6_f51,0.004933156
t36_f35,0.0045753582
t44_f35,0.004344073
t83_f35,0.0042706626
t1_f51,0.0042685024
t15_f22,0.0038421638
t1_f59,0.0038105373
t68_f61,0.0037816463
t2_f2,0.003662108
t127_f35,0.0036324481
t8_f42,0.003545077
t41_f22,0.0035201986
t33_f51,0.0034994907
t28_f35,0.0033580672
t126_f35,0.0033156998
t20_f35,0.0032889987
t95_f34,0.0032288583
t112_f47,0.003222115
t26_f52,0.0028174883
t1_f7,0.002711429
t5_f58,0.0025550628
t0_f35,0.0024387129
t91_f34,0.0024238478
t110_f47,0.0022832474
t2_f40,0.0021943708
t67_f50,0.0021916965
t0_f34,0.0020966544
t7_f50,0.0020707536
t69_f50,0.0020665736
t101_f61,0.0020642937
t15_f34,0.002062275
t104_f34,0.001969709
t7_f42,0.0019686348
t124_f47,0.001962095
t24_f52,0.001961893
t4_f16,0.0019204854
t30_f44,0.0018985878
t12_f52,0.001871003
t50_f22,0.0018194491
t83_f50,0.0017771579
t90_f34,0.0017674926
t113_f61,0.0017371586
t120_f47,0.0017371476
t69_f51,0.0016973546
t1_f40,0.0016774569
t78_f35,0.0016601534
t2_f3,0.0016433365
t23_f47,0.0016116031
t127_f47,0.0016096598
t79_f34,0.0016052099
t6_f6,0.0016012655
t1_f35,0.0015926921
t9_f0,0.0015892766
t62_f50,0.0015420135
t24_f16,0.0015416595
t72_f50,0.0015368412
t72_f35,0.0015046572
t126_f50,0.0015034335
t2_f35,0.0014973492
t96_f50,0.0014867105
t3_f6,0.0014867041
t99_f50,0.00146872
t103_f34,0.0014681921
t35_f59,0.0014414982
t76_f42,0.0014319366
t57_f47,0.0014244282
t14_f59,0.0013926529
t80_f47,0.0013846401
t126_f55,0.0013535087
t77_f29,0.0013355188
t48_f24,0.0013329536
t5_f59,0.0013248133
t104_f61,0.0013152254
t24_f61,0.0012948501
t108_f7,0.0012875511
t114_f61,0.0012869785
t127_f50,0.0012806915
t12_f2,0.001280134
t15_f51,0.0012706879
t2_f50,0.0012689623
t43_f28,0.0012377063
t63_f51,0.0012114586
t15_f52,0.0011794509
t123_f35,0.0011634422
t44_f22,0.0011438924
t14_f61,0.0011246789
t19_f61,0.0011171156
t63_f45,0.0011163014
t114_f50,0.0011072572
t53_f50,0.0011040862
t109_f50,0.0010977406
t57_f61,0.0010886185
t3_f3,0.0010864332
t94_f60,0.0010849566
t40_f28,0.0010744503
t96_f43,0.0010628356
t84_f35,0.0010470127
t61_f55,0.0010463828
t45_f50,0.0010388799
t9_f22,0.0010314663
t3_f45,0.0010287293
t121_f47,0.0010240155
t125_f50,0.0010196094
t43_f63,0.0010182766
t2_f59,0.001014859
t86_f50,0.0009929403
t24_f47,0.0009910539
t1_f6,0.00097610225
t82_f52,0.0009688004
t38_f44,0.00093979697
t1_f50,0.0009315201
t90_f4,0.00092259
t31_f50,0.000921715
t111_f47,0.0009204403
t35_f30,0.00091350585
t78_f61,0.00091162196
t9_f47,0.00090810703
t101_f34,0.00088846625
t102_f50,0.00088839745
t25_f52,0.0008858214
t122_f7,0.0008821809
t71_f35,0.00087150227
t106_f61,0.0008682874
t6_f34,0.0008586927
t26_f50,0.00085466926
t14_f51,0.0008537654
t55_f0,0.0008509138
t10_f7,0.00084991334
t2_f61,0.0008480166
t114_f40,0.00083688553
t118_f47,0.000830416
t0_f51,0.0008204049
t124_f51,0.0008090901
t3_f35,0.0008086203
t15_f16,0.000808285
t110_f1,0.0008080938
t5_f6,0.0008070932
t13_f45,0.0007981662
t123_f50,0.0007968423
t14_f42,0.0007939253
t121_f43,0.00079259084
t85_f61,0.0007856813
t77_f43,0.00078335445
t40_f22,0.0007717726
t99_f34,0.0007650039
t102_f28,0.0007498451
t58_f57,0.0007490791
t50_f59,0.00074723567
t32_f34,0.0007468908
t21_f28,0.0007439298
t1_f61,0.0007414455
t7_f0,0.0007389424
t82_f35,0.00073109753
t108_f43,0.0007274652
t0_f61,0.0007209861
t105_f28,0.0007124609
t5_f51,0.0007104134
t125_f43,0.00070496986
t10_f51,0.000698001
t63_f2,0.0006964978
t12_f28,0.00068142643
t127_f57,0.000676042
t66_f42,0.00067369617
t26_f59,0.00066824805
t116_f50,0.0006677167
t28_f34,0.00065859134
t40_f63,0.0006560397
t21_f62,0.0006508073
t30_f29,0.00064868224
t119_f60,0.00064745656
t66_f35,0.0006468463
t2_f0,0.00064542674
t34_f61,0.0006369717
t67_f61,0.0006361466
t3_f24,0.00063539576
t68_f35,0.0006349605
t10_f61,0.0006338761
t123_f47,0.0006282911
t124_f6,0.00062546815
t30_f62,0.0006201834
