epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.6413,7.22757,14.6505,0.04867,0,0,0,0,8.56019,1.90106,0.06698,0.00589286,0.00196429,0.00589286,0.00196429,0.08625,0.0823214,0.00589286,0.00196429
2,21.8614,4.06454,1.87817,0.01299,0,0,0,0,9.1409,1.94191,0.08061,0.01189,0.00396332,0.01189,0.00396332,0.0722471,0.0643205,0.01189,0.00396332
3,31.8274,2.88765,1.3833,0.00848,0.01284,0.46667,0.0096,0.00401,3.33388,1.47123,0.01085,0.0178754,0.00595846,0.0178754,0.00595846,0.0582325,0.0463156,0.0178754,0.00595846
4,41.955,2.27098,1.23239,0.00553,0.0052,0.96667,0.04551,0.02278,3.01024,1.2266,0.00943,0.0238404,0.00794679,0.0238404,0.00794679,0.0441975,0.0283039,0.0238404,0.00794679
5,51.7477,3.00087,1.11248,0.01007,0.00548,0.96667,0.05149,0.02007,3.1747,1.23835,0.01192,0.0297762,0.00992539,0.0297762,0.00992539,0.0301333,0.0102825,0.0297762,0.00992539
6,61.086,2.94593,1.08828,0.00861,0.11634,0.1,0.06163,0.02418,3.5935,1.24703,0.01857,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,70.6521,2.92059,1.1375,0.01025,0.00651,0.98333,0.02967,0.00672,4.65397,1.24316,0.01488,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,80.0208,3.13908,1.00605,0.00771,0.00229,0.05,0.00122,0.00061,6.85672,1.98469,0.04675,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,89.478,2.68703,1.09189,0.0075,0,0,0,0,8.09623,2.13129,0.05731,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,98.1722,3.72205,1.06637,0.00863,0.24882,0.28333,0.2114,0.05519,4.06657,1.27131,0.0079,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,106.863,2.71056,0.86737,0.00471,0.50716,0.35,0.33022,0.14833,3.4004,0.9315,0.00681,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,115.323,2.86408,0.80704,0.00415,0.45049,0.4,0.36051,0.1887,2.31031,0.92522,0.00432,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
