epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,137.795,3.65701,6.73297,0.01586,0.03029,0.65211,0.07847,0.03073,2.38843,1.38866,0.00541,0.00598271,0.00199424,0.00598271,0.00199424,0.0860403,0.0820519,0.00598271,0.00199424
2,263.194,1.57337,0.72955,0.00265,0.70086,0.50563,0.57961,0.39309,1.65425,0.73438,0.00347,0.011982,0.00399399,0.011982,0.00399399,0.0720396,0.0640516,0.011982,0.00399399
3,380.846,1.84475,0.62267,0.00256,0.72516,0.57465,0.66097,0.43761,1.79812,0.59012,0.00257,0.0179783,0.00599277,0.0179783,0.00599277,0.058036,0.0460504,0.0179783,0.00599277
4,497.531,2.24479,0.58035,0.00268,0.65233,0.54704,0.60579,0.36608,1.95945,0.6275,0.00399,0.0239695,0.00798984,0.0239695,0.00798984,0.0440272,0.0280475,0.0239695,0.00798984
5,614.909,2.26994,0.57283,0.00264,0.58227,0.53239,0.54124,0.31419,1.93522,0.70039,0.00559,0.0299534,0.00998447,0.0299534,0.00998447,0.0300111,0.0100421,0.0299534,0.00998447
6,728.263,2.07365,0.57396,0.00244,0.68108,0.55344,0.60097,0.39236,1.91415,0.65188,0.00407,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,848.757,1.85328,0.52568,0.00205,0.71431,0.52824,0.62263,0.40771,1.76693,0.61943,0.00472,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,966.927,1.82701,0.50926,0.00181,0.66761,0.55493,0.60671,0.39782,1.51025,0.64145,0.00446,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1084,1.70833,0.49507,0.00164,0.7157,0.58169,0.66887,0.364,2.26193,0.61115,0.00471,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1201.41,1.65746,0.48068,0.00163,0.75839,0.60704,0.67986,0.45474,1.84346,0.57523,0.00573,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1319.77,1.49235,0.45678,0.00143,0.69041,0.57793,0.63825,0.43529,1.75118,0.58588,0.00558,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1436.64,1.51556,0.44788,0.00135,0.67572,0.49437,0.57749,0.30201,2.22252,0.68913,0.00534,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1547.52,1.51144,0.44089,0.00136,0.69965,0.59058,0.67938,0.46368,1.7514,0.54515,0.00584,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1660.99,1.45664,0.41322,0.00119,0.60907,0.55518,0.58277,0.3815,1.74359,0.62609,0.0057,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1771.06,1.53383,0.40793,0.00136,0.61313,0.50669,0.56281,0.3395,2.01127,0.67647,0.00481,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1881.34,1.3874,0.40401,0.00122,0.63871,0.55775,0.61297,0.38503,1.76397,0.61062,0.00513,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1994.81,1.34849,0.3639,0.00099,0.69192,0.53144,0.59818,0.39122,1.81128,0.63229,0.00626,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,2105.46,1.37022,0.34961,0.00107,0.59231,0.53662,0.58594,0.38325,1.81924,0.60917,0.00601,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,2215.82,1.32393,0.33923,0.00098,0.67891,0.5152,0.58089,0.37462,1.90088,0.67005,0.00637,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,2328.97,1.26592,0.32581,0.001,0.66518,0.53944,0.60348,0.37575,1.85926,0.63887,0.00508,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,2439.63,1.20243,0.29929,0.00091,0.65003,0.54507,0.59533,0.38047,1.88837,0.61763,0.0046,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2549.63,1.25722,0.27968,0.00091,0.62846,0.54507,0.57522,0.35429,2.12556,0.65208,0.00558,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
