epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3575,2.04315,1.36152,1.35744,0.90263,0.95859,0.95741,0.66,1.7133,0.91076,0.79525,0.000332842,0.000332842,0.000332842
2,122.309,1.62699,0.68838,1.21413,0.96038,0.96195,0.98495,0.73303,1.67389,0.68329,0.73985,0.00066617,0.00066617,0.00066617
3,178.343,1.52326,0.63411,1.20007,0.95905,0.97263,0.98298,0.73018,1.62745,0.634,0.75881,0.000999208,0.000999208,0.000999208
4,234.432,1.42735,0.58354,1.19142,0.96054,0.97196,0.98454,0.77151,1.55856,0.54321,0.76896,0.00133174,0.00133174,0.00133174
5,290.146,1.44754,0.59447,1.18569,0.96679,0.97414,0.98752,0.76932,1.45442,0.56901,0.75144,0.00166355,0.00166355,0.00166355
6,347.328,1.41152,0.54656,1.18794,0.95928,0.97788,0.98761,0.78459,1.47372,0.5103,0.71261,0.00166248,0.00166248,0.00166248
7,404.221,1.37976,0.54617,1.184,0.96712,0.96549,0.98866,0.78937,1.48138,0.64277,0.75785,0.00166049,0.00166049,0.00166049
8,459.385,1.33172,0.53301,1.17565,0.97193,0.96872,0.98914,0.76392,1.71332,0.54077,0.82558,0.00165815,0.00165815,0.00165815
9,514.422,1.30941,0.5278,1.17029,0.96844,0.97418,0.9887,0.77336,1.67535,0.52835,0.82715,0.00165544,0.00165544,0.00165544
10,570.182,1.30048,0.51793,1.17033,0.94682,0.97748,0.98899,0.78332,1.55491,0.52248,0.77398,0.00165238,0.00165238,0.00165238
11,625.507,1.29602,0.49692,1.17317,0.95634,0.96836,0.98712,0.76184,1.6538,0.59345,0.80717,0.00164897,0.00164897,0.00164897
12,681.742,1.27174,0.50662,1.17247,0.96942,0.96549,0.98939,0.78881,1.56126,0.50363,0.80979,0.0016452,0.0016452,0.0016452
13,738.888,1.23761,0.48063,1.16462,0.96199,0.97467,0.98704,0.75997,1.65255,0.54399,0.80354,0.00164108,0.00164108,0.00164108
14,794.669,1.23707,0.46739,1.16242,0.96258,0.97699,0.98759,0.77715,1.49674,0.48635,0.77572,0.0016366,0.0016366,0.0016366
15,850.101,1.20325,0.46488,1.16504,0.97943,0.97467,0.99274,0.7975,1.52888,0.46938,0.79034,0.00163178,0.00163178,0.00163178
16,905.515,1.20233,0.45297,1.15266,0.97596,0.97238,0.99088,0.81186,1.46332,0.53544,0.78108,0.00162661,0.00162661,0.00162661
17,960.931,1.19469,0.45251,1.1627,0.97833,0.97352,0.99016,0.81879,1.41472,0.46962,0.77638,0.0016211,0.0016211,0.0016211
18,1016.45,1.19814,0.44759,1.1647,0.98306,0.98053,0.99364,0.83118,1.37634,0.44854,0.77084,0.00161525,0.00161525,0.00161525
19,1074.49,1.18396,0.43903,1.15693,0.98171,0.97158,0.99133,0.83999,1.42637,0.46212,0.77014,0.00160905,0.00160905,0.00160905
20,1130.75,1.17284,0.44856,1.15973,0.97776,0.96701,0.9914,0.81515,1.51076,0.4806,0.77169,0.00160252,0.00160252,0.00160252
21,1185.69,1.16198,0.43224,1.15627,0.97672,0.96819,0.99177,0.81894,1.44958,0.45604,0.79872,0.00159566,0.00159566,0.00159566
