feature,importance
t10_f2,0.0013933791
t112_f30,0.0013815452
t75_f61,0.0013741084
t83_f51,0.0013635135
t44_f61,0.0013296134
t106_f52,0.0013103364
t6_f45,0.0013080325
t63_f43,0.0013001485
t49_f43,0.0012904411
t24_f18,0.0012791731
t40_f34,0.0012608828
t118_f43,0.00123989
t52_f61,0.0011629243
t43_f62,0.0011616835
t91_f30,0.0011566338
t67_f41,0.0011555508
t110_f61,0.0011288048
t68_f41,0.0011209651
t123_f2,0.001112609
t0_f62,0.0011026806
t123_f62,0.0011000677
t109_f51,0.00109813
t81_f30,0.0010809193
t0_f58,0.0010769184
t91_f63,0.0010765402
t126_f61,0.0010763038
t95_f51,0.0010754815
t28_f58,0.0010728954
t81_f42,0.0010708908
t3_f1,0.0010679079
t4_f24,0.0010593523
t31_f52,0.0010591687
t106_f62,0.0010473897
t0_f6,0.0010470888
t95_f41,0.0010428929
t44_f25,0.0010417727
t127_f22,0.001038072
t5_f59,0.0010363779
t7_f34,0.0010350574
t111_f34,0.0010302807
t120_f50,0.0010248908
t34_f62,0.0010191267
t116_f45,0.0009927008
t3_f59,0.0009782553
t69_f34,0.0009780569
t106_f41,0.00097452756
t74_f52,0.00097234774
t83_f52,0.0009721724
t62_f51,0.00094137585
t112_f16,0.0009410649
t22_f42,0.00093577337
t82_f47,0.0009351352
t2_f45,0.0009344956
t54_f63,0.00092728436
t67_f43,0.0009262246
t39_f25,0.0009257788
t81_f52,0.000925284
t86_f34,0.0009159412
t61_f55,0.0009100095
t126_f5,0.0009079942
t11_f59,0.0009047743
t87_f12,0.000904174
t39_f29,0.00088812277
t35_f51,0.000887245
t32_f47,0.00088312104
t47_f40,0.00087958376
t55_f34,0.0008743924
t126_f51,0.0008709164
t8_f18,0.0008684688
t123_f43,0.0008645634
t86_f61,0.0008585229
t25_f45,0.0008579071
t126_f34,0.0008544079
t4_f61,0.0008499774
t87_f52,0.00084650784
t15_f63,0.000834448
t76_f52,0.00082951837
t22_f45,0.0008245929
t60_f54,0.0008169723
t24_f59,0.0008136093
t47_f34,0.0008079095
t112_f60,0.000806563
t57_f61,0.000805132
t46_f34,0.0008044764
t127_f25,0.0008033308
t59_f51,0.00080019986
t1_f45,0.00079266774
t124_f42,0.0007879299
t11_f45,0.00078634464
t7_f30,0.000780222
t37_f47,0.0007774101
t98_f61,0.0007772695
t21_f50,0.00077685545
t67_f1,0.00077029516
t122_f52,0.00076811266
t8_f62,0.0007670503
t35_f57,0.0007657826
t98_f54,0.00076336804
t99_f6,0.0007622687
t2_f52,0.0007607062
t79_f54,0.0007462253
t50_f62,0.0007378731
t103_f2,0.00073577074
t97_f0,0.00072613795
t25_f47,0.00072218815
t126_f25,0.00072053587
t124_f25,0.000720302
t115_f62,0.0007174618
t104_f34,0.000705708
t56_f40,0.00070504856
t15_f7,0.0007019545
t31_f45,0.00069899764
t41_f30,0.0006983813
t29_f45,0.00069664046
t16_f63,0.00069191225
t12_f44,0.0006881134
t90_f61,0.0006875977
t116_f52,0.0006861319
t103_f54,0.00068549206
t114_f50,0.0006831373
t90_f57,0.0006800411
t127_f43,0.00067605736
t103_f61,0.000675284
t6_f51,0.00067459076
t83_f62,0.0006735957
t22_f34,0.0006727116
t63_f25,0.0006693205
t33_f51,0.0006650557
t6_f63,0.00066295225
t0_f45,0.0006622748
t3_f51,0.0006593414
t37_f34,0.00065914437
t112_f31,0.00065910246
t103_f41,0.0006581714
t108_f47,0.00065637
t42_f62,0.0006560341
t54_f51,0.000655712
t122_f59,0.0006546494
t97_f50,0.0006528224
t0_f51,0.00065230293
t58_f3,0.00065197615
t76_f51,0.0006515631
t111_f36,0.0006503413
t112_f44,0.0006436292
t118_f51,0.0006431279
t123_f50,0.0006415832
t91_f44,0.0006362123
t104_f7,0.0006343415
t7_f16,0.00063389546
t7_f63,0.0006327534
t47_f63,0.0006319218
t4_f45,0.0006311133
t97_f63,0.00063106726
t112_f51,0.0006310445
t53_f45,0.00063020893
t24_f63,0.0006299942
t30_f18,0.00062954426
t24_f61,0.0006293005
t117_f22,0.0006279214
t99_f41,0.000625511
t79_f52,0.0006254228
t110_f52,0.00062486023
t42_f54,0.00062418275
t30_f34,0.0006220445
t34_f42,0.0006209397
t4_f63,0.00062084553
t112_f61,0.0006189415
t100_f34,0.0006148541
t33_f18,0.00061284046
t70_f34,0.00061223423
t119_f24,0.00061201345
t45_f30,0.0006116867
t27_f62,0.0006111494
t80_f52,0.00061091327
t124_f60,0.0006009806
t4_f51,0.00059596496
t122_f2,0.00059585273
t121_f45,0.00059413014
t57_f6,0.0005923787
t74_f25,0.0005851084
t113_f18,0.00058488105
t65_f45,0.0005831313
t53_f34,0.0005818969
t8_f45,0.0005812431
t69_f52,0.00058088347
t6_f40,0.0005803638
t116_f47,0.0005777639
t116_f43,0.0005751176
t103_f30,0.0005742063
t102_f51,0.0005740503
t38_f62,0.00057238014
t79_f34,0.0005709231
t121_f51,0.0005688644
t73_f59,0.00056847546
t102_f44,0.0005681716
t52_f41,0.0005677689
t53_f44,0.0005662569
t12_f57,0.00056526496
t77_f51,0.0005617088
t43_f31,0.0005597953
t13_f56,0.00055931404
t33_f30,0.0005588506
t125_f50,0.00055705453
t84_f62,0.0005567135
t8_f25,0.00055580883
t58_f40,0.00055351143
t116_f63,0.000546409
t101_f50,0.00054629974
t108_f30,0.00053882104
t120_f52,0.00053786096
t88_f61,0.0005369641
t66_f5,0.00053436746
t38_f52,0.00053408643
t105_f63,0.0005327683
t17_f3,0.00053129473
t35_f9,0.000530756
t125_f18,0.00052632054
t72_f45,0.0005255555
t79_f60,0.0005255411
t60_f58,0.00052436517
t69_f0,0.0005239989
t12_f40,0.0005226202
t119_f50,0.00052223436
t126_f30,0.0005208895
t103_f44,0.0005208112
t42_f34,0.000516929
t107_f52,0.00051576045
t96_f63,0.0005141371
t42_f53,0.0005137282
t90_f52,0.0005137226
t3_f63,0.00050908036
t32_f62,0.0005085806
t14_f34,0.00050800416
t45_f45,0.00050776935
t8_f1,0.00050639204
t122_f57,0.0005048819
t81_f50,0.0005046332
t4_f54,0.00050431053
t42_f63,0.0005040219
t97_f57,0.0004980447
t115_f43,0.0004980215
t97_f60,0.0004958966
t18_f54,0.0004951119
t94_f7,0.0004937666
t111_f13,0.0004927392
t4_f30,0.0004866012
t114_f57,0.0004857485
t1_f57,0.00048500733
t31_f28,0.0004840883
t28_f3,0.0004831151
t76_f30,0.0004827694
t26_f52,0.0004806677
t111_f52,0.00047926576
t78_f50,0.0004785454
t65_f54,0.00047778638
t38_f34,0.0004767617
t38_f24,0.00047581235
t127_f44,0.00047388457
t105_f50,0.00047232438
t41_f61,0.00047098479
t10_f34,0.00047098153
t59_f25,0.00047053708
t13_f29,0.00047047733
t57_f43,0.00047000044
t82_f44,0.0004690304
t90_f28,0.00046787667
t127_f58,0.00046760176
t10_f43,0.00046724794
t123_f18,0.00046686275
t79_f53,0.0004667334
t13_f41,0.00046650894
t106_f45,0.00046580264
t42_f52,0.0004638564
t104_f41,0.00046252596
t101_f61,0.00046203393
t97_f52,0.00046075194
t127_f52,0.00046024946
t98_f58,0.00045809385
t2_f24,0.00045794758
t80_f61,0.00045783012
t28_f24,0.00045710412
t1_f28,0.00045654477
t30_f43,0.00045592306
t108_f52,0.0004558123
t4_f53,0.00045366355
t117_f0,0.00045332676
t120_f59,0.00045283182
t32_f60,0.00045250476
t94_f0,0.00045111057
t39_f34,0.00045109916
t34_f31,0.00044889434
t59_f45,0.0004484271
t121_f50,0.00044605852
t52_f22,0.0004448406
t127_f2,0.00044434177
t56_f54,0.00044423464
t57_f0,0.00044372142
t51_f61,0.00044361706
t12_f29,0.0004411046
t94_f63,0.00044103997
t93_f62,0.00044058706
t20_f45,0.00043989808
t118_f2,0.00043949063
t20_f43,0.000439253
t9_f56,0.00043811183
t117_f47,0.0004375596
t93_f12,0.00043397094
t126_f55,0.00043318255
t87_f40,0.00043299707
t113_f34,0.00043291488
t4_f59,0.00043197908
t122_f63,0.0004319679
t7_f29,0.00043165576
t4_f1,0.00043081556
t55_f29,0.0004287718
t125_f59,0.0004286831
t88_f62,0.00042801915
t57_f18,0.00042764895
t54_f60,0.00042664228
t122_f61,0.00042600554
t98_f44,0.00042579236
t0_f2,0.0004256933
t104_f50,0.0004253872
t5_f45,0.000424929
t101_f47,0.00042429057
t47_f7,0.00042398166
t0_f63,0.00042299213
t23_f34,0.00042290796
t17_f45,0.00042255787
t54_f34,0.0004223485
t96_f52,0.0004198943
t89_f40,0.00041937144
t14_f58,0.00041673385
t52_f59,0.00041617744
t96_f43,0.00041608416
t39_f60,0.00041537703
t46_f56,0.0004135497
t33_f38,0.00041055746
t121_f60,0.00040847415
t38_f30,0.00040839065
t114_f43,0.00040686192
t75_f52,0.00040595533
t123_f60,0.00040535151
t72_f52,0.0004050708
t37_f45,0.00040425538
t19_f61,0.000403518
t94_f24,0.00040226054
t52_f45,0.0004019562
t10_f51,0.00040083184
t0_f28,0.00040073242
t126_f59,0.00040045977
t91_f6,0.000399879
t59_f50,0.0003994338
t54_f29,0.0003951878
t43_f52,0.00039504177
t9_f45,0.00039486523
t71_f23,0.00039354706
t120_f45,0.0003928823
t119_f52,0.0003924767
t70_f54,0.0003920918
t120_f40,0.00039176806
t66_f59,0.00039084567
t28_f52,0.00039079756
t35_f31,0.00039057154
t34_f45,0.00038989546
t65_f41,0.00038933492
t16_f61,0.00038793476
t6_f29,0.0003877699
t57_f59,0.00038756142
t44_f11,0.00038716223
t112_f43,0.0003871463
t110_f59,0.00038714556
t28_f16,0.0003870975
t5_f52,0.00038640498
t13_f1,0.00038635952
t121_f63,0.000384684
t62_f40,0.00038410598
t7_f62,0.00038393465
t37_f40,0.00038373494
t119_f25,0.00038371593
t21_f41,0.00038300885
t19_f34,0.000381773
t23_f55,0.00038165957
t74_f30,0.00038157072
t10_f38,0.00038155596
t9_f40,0.0003814033
t108_f51,0.000381355
t5_f29,0.00038051922
t103_f56,0.000380451
t86_f17,0.0003798873
t3_f28,0.00037909945
t80_f60,0.00037820343
t115_f25,0.0003774872
t112_f54,0.000376671
t18_f53,0.00037649268
t125_f42,0.00037579364
t2_f51,0.0003753771
t48_f50,0.0003752688
t21_f25,0.00037483725
t80_f7,0.00037479476
t102_f47,0.00037359833
t30_f0,0.0003723973
t21_f0,0.00037062826
t62_f44,0.00036925316
t38_f45,0.00036898584
t88_f34,0.000368264
t106_f50,0.00036742009
t24_f30,0.00036718525
t1_f3,0.0003659653
t5_f42,0.00036587118
t65_f2,0.0003652783
t113_f1,0.00036507283
t111_f31,0.0003639162
t100_f31,0.00036342227
t43_f45,0.0003632852
t33_f2,0.0003628969
t8_f24,0.0003623157
t114_f51,0.00036168456
t21_f42,0.0003611133
t10_f59,0.00036024826
t41_f23,0.00036012894
t28_f61,0.00035957142
t37_f56,0.00035913964
t10_f41,0.00035835136
t73_f42,0.00035807947
t46_f62,0.00035776698
t105_f18,0.00035663412
t32_f61,0.0003566216
t43_f59,0.0003556431
t122_f28,0.00035542873
t46_f28,0.00035454918
t74_f51,0.00035448745
t107_f61,0.0003532134
t38_f50,0.0003520297
t53_f0,0.00035200707
t48_f45,0.0003510784
t115_f63,0.00035106708
t23_f18,0.00035034126
t95_f6,0.00035025764
t117_f61,0.00035014265
t12_f50,0.0003496173
t89_f52,0.00034942888
t42_f5,0.0003490448
t95_f52,0.00034890667
t85_f3,0.00034868988
t108_f34,0.0003474452
t21_f34,0.00034655532
t9_f51,0.00034556948
t115_f52,0.00034549844
t34_f40,0.0003454044
t5_f2,0.00034441915
t78_f6,0.0003436979
t87_f50,0.00034350043
t75_f54,0.00034325695
t120_f63,0.00034311938
t23_f54,0.00034234437
t109_f63,0.0003421882
t62_f50,0.000341397
t103_f55,0.00033980765
t10_f63,0.00033970823
t51_f56,0.00033898687
t52_f46,0.00033777292
t29_f43,0.00033586854
t110_f50,0.0003356211
t97_f43,0.000334705
t61_f7,0.00033460843
t43_f63,0.00033421192
t111_f61,0.00033377705
t16_f0,0.00033276202
t45_f49,0.00033161783
t93_f38,0.00032905448
t0_f3,0.0003283369
t1_f52,0.00032821955
t28_f63,0.000328217
t117_f40,0.00032809883
t2_f40,0.00032743585
t15_f45,0.00032736643
t41_f41,0.0003271181
t75_f55,0.0003253243
t8_f52,0.00032359417
t63_f34,0.00032352083
t113_f44,0.00032333657
t114_f42,0.00032325558
t103_f28,0.00032321492
t23_f42,0.00032316422
t65_f55,0.00032267728
t91_f29,0.00032217737
t0_f34,0.00032210135
t15_f34,0.00032198572
t103_f43,0.00032177923
t39_f45,0.0003212329
t23_f45,0.00032114226
t23_f30,0.00032029624
t81_f51,0.00031981946
t86_f18,0.00031855196
t65_f56,0.000318039
t123_f4,0.00031748606
t69_f63,0.00031707608
t104_f16,0.00031648373
t96_f50,0.00031633975
t39_f18,0.00031598398
t70_f29,0.00031563817
t94_f6,0.00031508403
t31_f63,0.00031500854
t124_f50,0.00031464992
t45_f31,0.00031363117
t28_f0,0.00031311475
t121_f10,0.0003128303
t32_f20,0.00031261472
t103_f24,0.00031260157
t15_f59,0.0003124997
t6_f24,0.000311492
t93_f24,0.000310857
