feature,importance
t12_f61,0.010785427
t38_f52,0.009044463
t45_f51,0.008375881
t3_f51,0.008234092
t5_f47,0.008098784
t46_f47,0.007818301
t17_f40,0.007493136
t3_f52,0.007260878
t8_f51,0.0071204132
t125_f52,0.006529713
t126_f50,0.006382911
t85_f51,0.0057720924
t31_f51,0.005726449
t127_f50,0.0052543306
t92_f6,0.0049015377
t74_f51,0.0046425774
t40_f47,0.004627757
t8_f40,0.004494121
t16_f52,0.0039341454
t101_f18,0.0036641988
t61_f55,0.0036443234
t6_f59,0.003492523
t2_f52,0.00336361
t16_f24,0.003293744
t110_f51,0.0031655924
t73_f6,0.0031281963
t36_f4,0.0031219767
t5_f40,0.0031122025
t27_f52,0.0030963763
t39_f52,0.0030125412
t5_f51,0.0030123023
t1_f40,0.0029614875
t30_f47,0.0029196583
t63_f62,0.002895563
t92_f0,0.0028913745
t11_f47,0.0028887861
t114_f16,0.0028783593
t52_f61,0.0028479141
t0_f50,0.002812806
t4_f24,0.002784036
t14_f61,0.0027392288
t72_f2,0.0026657612
t0_f47,0.0026526216
t87_f52,0.0025955068
t116_f61,0.0025587196
t23_f47,0.0025393064
t14_f51,0.0024628486
t91_f51,0.0024340695
t93_f6,0.0024216347
t24_f61,0.0024184766
t109_f51,0.0023497953
t49_f18,0.0023238005
t16_f51,0.002266
t19_f51,0.0022345493
t29_f61,0.0021780126
t86_f7,0.0021685641
t11_f40,0.002166625
t5_f61,0.002151178
t3_f50,0.0021302183
t32_f6,0.0021115246
t107_f16,0.0020650462
t125_f61,0.0020594301
t7_f61,0.0020509334
t33_f59,0.0020263984
t109_f28,0.002008351
t5_f59,0.0020066751
t2_f51,0.0019309202
t20_f30,0.001892005
t7_f40,0.0018133027
t81_f28,0.0017900427
t120_f16,0.0017687303
t106_f6,0.001747078
t91_f30,0.0017403006
t110_f28,0.0017124114
t105_f31,0.0017043694
t26_f61,0.0016952165
t7_f63,0.0016789567
t54_f0,0.0016369658
t125_f50,0.0016020654
t11_f51,0.001597179
t6_f63,0.0015638871
t110_f43,0.0015620143
t57_f61,0.0015322536
t59_f61,0.00152814
t123_f24,0.0015173656
t14_f52,0.00151664
t43_f22,0.0015123668
t62_f30,0.0015095785
t127_f52,0.001470135
t5_f16,0.0014560558
t3_f30,0.0014187427
t64_f40,0.0013861713
t9_f51,0.0013801522
t1_f59,0.0013697463
t66_f60,0.0013619169
t114_f61,0.0013612009
t3_f42,0.0013570631
t1_f51,0.0013366832
t78_f6,0.0013241952
t4_f40,0.0013186103
t52_f47,0.0013153282
t96_f1,0.0013145701
t66_f52,0.0013099062
t70_f52,0.0013046127
t36_f40,0.00130329
t23_f4,0.001301776
t31_f59,0.0012975446
t124_f52,0.0012972084
t53_f59,0.0012660625
t127_f61,0.0012332272
t54_f28,0.0012325555
t115_f22,0.0012298257
t76_f61,0.0012243905
t76_f22,0.0012196983
t114_f6,0.0012181049
t121_f3,0.0012124871
t82_f42,0.0012110686
t126_f55,0.0011997496
t50_f3,0.001189372
t8_f63,0.0011611823
t6_f42,0.0011597025
t54_f61,0.0011578718
t52_f51,0.0011518685
t7_f50,0.00115096
t106_f1,0.0011506509
t54_f51,0.001141709
t76_f59,0.0011290212
t96_f51,0.0011159743
t10_f28,0.0011080944
t3_f4,0.0011018489
t42_f59,0.0010831461
t26_f50,0.0010647719
t1_f50,0.0010585384
t8_f50,0.001055033
t25_f30,0.0010545996
t0_f51,0.0010523534
t3_f16,0.0010496379
t1_f16,0.0010459069
t2_f40,0.0010303766
t6_f61,0.0010249089
t11_f61,0.0010230712
t30_f24,0.001019959
t28_f61,0.0010172263
t81_f18,0.0010086576
t30_f40,0.0010046868
t6_f22,0.0009952523
t12_f52,0.0009786797
t124_f58,0.0009702609
t46_f42,0.00096155633
t9_f56,0.0009545427
t1_f61,0.0009525807
t22_f59,0.0009385864
t126_f58,0.0009239992
t108_f61,0.00092344265
t99_f59,0.00090772065
t120_f24,0.0009048326
t96_f43,0.00090101315
t117_f0,0.0009000437
t82_f52,0.00089730375
t48_f51,0.0008964821
t0_f28,0.00088785286
t93_f18,0.0008858566
t41_f40,0.00088346424
t20_f51,0.0008755039
t60_f28,0.0008729577
t25_f3,0.0008708729
t6_f47,0.0008708695
t67_f24,0.00086591986
t121_f52,0.0008587863
t66_f51,0.00085776264
t24_f42,0.00085038616
t47_f59,0.00085036736
t29_f50,0.00084540056
t34_f16,0.0008418683
t72_f51,0.0008415883
t1_f28,0.00083616324
t4_f47,0.0008346719
t0_f52,0.0008226877
t15_f5,0.00082166883
t81_f7,0.00081770436
t42_f53,0.0008170572
t123_f1,0.00081436225
t86_f44,0.00081202254
t31_f42,0.0008118508
t111_f52,0.0008094731
t22_f51,0.00080918206
t1_f7,0.0008071193
t15_f6,0.0008027253
t93_f47,0.0008014051
t97_f52,0.00079925056
t50_f16,0.0007936493
t88_f43,0.000793337
t53_f47,0.00079245324
t118_f2,0.0007907417
t32_f47,0.00078661303
t47_f47,0.00078502984
t10_f3,0.0007831149
t116_f51,0.00077162596
t103_f55,0.000768861
t22_f2,0.00076754036
t55_f16,0.00076740945
t90_f2,0.00076616835
t42_f61,0.0007642841
t106_f4,0.00076315587
t74_f61,0.00076271
t33_f51,0.0007618288
t115_f44,0.0007593677
t99_f16,0.0007548484
t97_f63,0.000754541
t95_f3,0.0007526987
t17_f61,0.0007415153
t96_f59,0.00073558965
t13_f59,0.00073273847
t121_f47,0.0007315996
t19_f61,0.0007307506
t21_f57,0.0007298453
t33_f47,0.00072209485
t16_f59,0.00071823626
t4_f16,0.0007177797
t38_f47,0.0007177386
t88_f47,0.00071491214
t88_f25,0.0007101782
t112_f52,0.000709376
t78_f43,0.0007076978
t62_f28,0.00070749427
t32_f55,0.00070598244
t112_f55,0.0007042456
t110_f6,0.00070229406
t3_f47,0.0007006497
t50_f58,0.00069883995
t46_f30,0.00069875526
t29_f0,0.000694667
t19_f62,0.0006897112
t95_f7,0.0006891548
t76_f40,0.0006881618
t123_f61,0.0006870687
t0_f6,0.0006830318
t126_f4,0.0006784539
t75_f22,0.0006772995
t120_f42,0.0006748438
t103_f56,0.0006739288
t11_f3,0.0006725878
t88_f59,0.0006721903
t63_f30,0.000670899
t1_f58,0.0006705884
t55_f47,0.00067054416
t107_f0,0.0006686766
t116_f2,0.00066709507
t118_f43,0.0006668702
t118_f61,0.00066631095
t121_f61,0.00066626474
t78_f34,0.00066382886
t24_f1,0.00066261267
t38_f51,0.0006598745
t12_f40,0.0006586587
t3_f59,0.00065778237
t116_f52,0.00065545377
t4_f5,0.0006545226
t32_f61,0.0006534448
t82_f41,0.0006512031
t65_f55,0.00064855104
t16_f45,0.0006438516
t98_f55,0.00064368435
t53_f44,0.0006436395
t102_f52,0.0006407751
t114_f58,0.0006404555
t58_f52,0.00063700584
t114_f47,0.0006358246
t51_f58,0.00063548004
t47_f28,0.0006352752
t121_f62,0.00063471
t0_f30,0.00062913285
t22_f41,0.0006255083
t26_f43,0.00062427536
t117_f5,0.0006229751
t125_f0,0.0006213845
t28_f51,0.0006163424
t109_f41,0.0006148722
t116_f47,0.0006144279
t93_f44,0.0006130444
t19_f41,0.000610803
t13_f47,0.00060877495
t11_f63,0.0006082821
t82_f50,0.00060757954
t126_f51,0.00060480385
t121_f57,0.0006046849
t76_f5,0.0006032797
t22_f45,0.0006017302
t44_f28,0.0006002187
t42_f54,0.0005976372
t0_f16,0.0005945402
t2_f50,0.0005917554
t122_f0,0.000591699
t101_f59,0.00059147325
t30_f43,0.000590742
t67_f61,0.000585843
t106_f50,0.0005857946
t17_f63,0.00058500835
t9_f40,0.00057841453
t2_f59,0.0005769574
t23_f55,0.00057664275
t63_f45,0.00057653885
t7_f47,0.00057610986
t98_f28,0.0005752057
t75_f47,0.00057370437
t115_f45,0.00057300704
t38_f63,0.00057210063
t77_f2,0.00057181274
t15_f50,0.0005670972
t119_f51,0.00056553364
t36_f3,0.00056504493
t113_f30,0.0005649416
t39_f45,0.00056422624
t108_f59,0.0005631719
t21_f61,0.0005629552
t126_f2,0.00056145986
t62_f29,0.000560801
t78_f47,0.0005553303
t87_f44,0.00055492023
t4_f53,0.000554067
t126_f45,0.0005528008
t16_f63,0.00055251585
t106_f61,0.0005522218
t24_f45,0.00055203243
t0_f58,0.0005514216
t127_f51,0.0005477026
t4_f56,0.0005456298
t8_f47,0.0005436753
t63_f1,0.00054286903
t61_f58,0.00054025237
t95_f47,0.0005399483
t100_f7,0.00053730025
t45_f5,0.0005372268
t95_f43,0.00053566764
t118_f51,0.0005351549
t126_f52,0.0005342449
t65_f7,0.0005333241
t0_f40,0.00053198356
t98_f24,0.00053178665
t26_f51,0.0005315889
t51_f55,0.0005314937
t126_f61,0.0005303938
t119_f14,0.0005301887
t122_f50,0.0005265033
t36_f50,0.0005256062
t60_f53,0.0005255582
t85_f62,0.00052475545
t32_f30,0.00052343524
t37_f60,0.0005233323
t39_f51,0.00052299
t65_f56,0.00052007
t124_f61,0.00051912956
t2_f61,0.00051889196
t124_f18,0.0005169435
t39_f7,0.0005168229
t37_f56,0.00051676464
t103_f54,0.00051646377
t43_f4,0.0005158343
t64_f3,0.00051334675
t81_f41,0.00051075325
t61_f30,0.00051069027
t59_f44,0.00051003916
t121_f50,0.0005098875
t5_f50,0.00050942117
t19_f30,0.0005086436
t124_f50,0.0005080815
t92_f62,0.00050769397
t8_f61,0.00050623104
t31_f40,0.00050604704
t35_f18,0.00050456304
t77_f43,0.0005034772
t71_f42,0.00050236087
t45_f22,0.00050001673
t33_f22,0.00049795094
t55_f45,0.00049597904
t11_f45,0.0004940703
t7_f51,0.00049397413
t122_f47,0.0004932319
t15_f28,0.0004916673
t115_f52,0.00048923853
t13_f56,0.0004888477
t36_f42,0.0004886186
t91_f52,0.0004883683
t48_f41,0.00048747982
t42_f62,0.00048676928
t123_f42,0.0004862794
t99_f61,0.0004858374
t44_f40,0.00048582902
t6_f50,0.00048550832
t94_f44,0.00048520247
t82_f61,0.00048518088
t29_f47,0.00048409938
t58_f18,0.00048370444
t4_f55,0.00048341014
t73_f40,0.00048125393
t0_f61,0.00047950787
t104_f51,0.00047842384
t15_f42,0.00047840035
t15_f24,0.00047766912
t23_f53,0.000474394
t30_f16,0.00047359365
t60_f54,0.00047336853
t9_f59,0.00047282802
t19_f42,0.00047265305
t58_f40,0.00047075158
t95_f62,0.00046914522
t43_f2,0.00046867394
t93_f55,0.0004677834
t5_f58,0.00046707442
t102_f42,0.00046442964
t115_f63,0.00046290443
t90_f40,0.00046246775
t112_f54,0.00046157817
t10_f52,0.0004609315
t105_f52,0.00045895495
t91_f1,0.00045798195
t119_f50,0.00045498
t50_f30,0.00045280444
t126_f22,0.00045225385
t110_f1,0.00045220213
t124_f51,0.00045215408
t123_f57,0.0004518615
t89_f42,0.00044983512
t12_f50,0.00044884667
t96_f0,0.0004484267
t82_f47,0.00044789232
t53_f3,0.00044780018
t30_f34,0.00044754165
t25_f0,0.00044603815
t71_f43,0.00044536806
t79_f54,0.00044454934
t41_f1,0.00044435664
t44_f44,0.00044415056
t78_f2,0.00044378336
t123_f51,0.00044296507
t120_f44,0.00044280724
t83_f7,0.00044183043
t51_f0,0.00044109212
t84_f53,0.00044085234
t66_f4,0.00044029075
t2_f42,0.00044017285
t100_f28,0.00044017253
t112_f40,0.00043949613
t78_f42,0.00043893585
t109_f7,0.00043746547
t92_f44,0.00043656852
t76_f51,0.0004362405
t39_f44,0.00043596388
t99_f52,0.0004354688
t72_f61,0.00043459752
t69_f30,0.0004344698
t73_f51,0.00043359975
t60_f1,0.000433425
t102_f1,0.00043319928
t18_f54,0.00043053317
t106_f42,0.00042763026
t58_f61,0.00042715398
t108_f62,0.00042608095
t18_f53,0.0004259174
t20_f63,0.0004258895
t9_f61,0.00042557978
t54_f45,0.00042444252
t96_f45,0.00042434284
t122_f45,0.00042415905
t7_f1,0.0004238207
t116_f57,0.0004236229
t91_f45,0.00042334193
t9_f45,0.00042156162
t59_f0,0.00042108053
t17_f52,0.0004208318
t74_f52,0.0004207404
t67_f30,0.0004204699
t98_f54,0.00041880357
t85_f63,0.00041832114
t118_f6,0.00041802612
t126_f28,0.00041759692
t81_f52,0.00041691272
t98_f53,0.00041386098
t2_f28,0.00041348793
t105_f42,0.0004133835
t117_f61,0.00041329564
t13_f50,0.00041302745
t114_f43,0.00041024602
t19_f52,0.00040984733
t12_f35,0.00040926744
t119_f61,0.00040860145
t19_f3,0.00040798404
t119_f42,0.000406701
t107_f47,0.0004064338
t98_f56,0.00040623924
t71_f61,0.00040607798
t41_f52,0.00040481047
t3_f40,0.00040397243
t2_f47,0.00040302813
t51_f56,0.00040227463
t28_f28,0.00040200574
t109_f5,0.00040052415
t116_f50,0.00039991055
t21_f50,0.00039953494
t116_f44,0.0003991804
t13_f42,0.00039869887
t75_f53,0.00039841072
t59_f43,0.00039686653
t45_f41,0.00039584516
t35_f24,0.00039576433
t7_f57,0.0003956547
t94_f57,0.0003956125
t38_f44,0.00039554815
t23_f59,0.00039485993
t116_f7,0.0003940556
t126_f43,0.00039331018
t16_f0,0.00039292139
t73_f61,0.00039247228
t117_f59,0.00039219885
t21_f51,0.00039190595
t109_f44,0.00039149946
t111_f45,0.00039123447
t10_f61,0.00039067675
t107_f29,0.00038990838
t54_f47,0.00038902537
t100_f44,0.00038889464
t114_f40,0.00038845412
t106_f52,0.00038843826
t86_f51,0.00038824152
t62_f50,0.00038670003
t77_f59,0.00038609916
t52_f59,0.00038381742
t75_f54,0.00038370825
t93_f0,0.0003834523
t70_f6,0.00038180282
t6_f45,0.00038122982
t118_f52,0.00037995147
t5_f42,0.00037989975
t83_f50,0.00037959524
t8_f30,0.00037917538
t52_f42,0.0003790573
t70_f56,0.00037841755
t94_f30,0.0003782723
t65_f54,0.00037778507
t3_f1,0.00037765774
t99_f62,0.00037720663
t58_f57,0.0003769323
t51_f47,0.00037661937
t92_f45,0.00037623747
t24_f59,0.00037531703
t13_f2,0.0003749256
t118_f59,0.00037436574
t44_f50,0.00037433128
t125_f44,0.00037323852
t114_f0,0.00037226605
t97_f59,0.0003720662
t60_f34,0.00037140664
t125_f57,0.0003709354
t98_f14,0.00037074555
t19_f16,0.00037034546
t46_f22,0.00037017872
t121_f42,0.00037001006
t72_f41,0.00036922318
t55_f43,0.00036846474
t42_f16,0.0003682283
t5_f6,0.00036745693
t71_f2,0.00036652992
t97_f3,0.0003658899
t107_f7,0.00036588524
t99_f0,0.0003648937
t93_f45,0.0003641517
t75_f45,0.0003630794
t66_f18,0.0003620664
t124_f40,0.00036190994
t38_f2,0.00036133273
t25_f52,0.0003611077
t13_f55,0.00036056628
t29_f51,0.0003601313
t15_f1,0.00035979247
t16_f47,0.00035919712
t117_f55,0.0003588854
t12_f62,0.00035779527
t93_f61,0.00035772624
t86_f47,0.0003564812
t99_f51,0.0003557514
t59_f1,0.00035437173
t71_f30,0.00035407094
t109_f43,0.00035402895
t123_f50,0.0003535911
t123_f44,0.00035289172
t62_f43,0.00035238927
t121_f40,0.00035232585
t42_f3,0.00035193755
t49_f44,0.0003517637
t68_f47,0.00035152992
t22_f44,0.000351252
t48_f62,0.00035119138
t6_f51,0.00035088617
t0_f2,0.00035048445
t88_f52,0.00034964643
t127_f40,0.00034954777
t13_f40,0.0003495289
t1_f44,0.0003483193
t84_f45,0.00034762
t59_f40,0.00034707898
t114_f63,0.00034672784
t111_f51,0.00034668978
t122_f59,0.0003462272
t56_f54,0.0003451147
t15_f40,0.00034493254
t1_f42,0.00034412683
t10_f34,0.00034307843
t9_f52,0.0003428475
t75_f55,0.000342522
t51_f44,0.00034247918
t58_f30,0.00034074203
t127_f16,0.00034057882
t62_f41,0.0003405682
t84_f28,0.00033995905
t124_f44,0.00033981758
t112_f41,0.00033947793
t30_f50,0.00033946912
t126_f44,0.0003394032
